,question,category,answer,choices__001,choices__002,choices__003,choices__004
0,Three of these animals hibernate. Which one does not?,animals,Sloth,Mouse,Sloth,Frog,Snake
1,All of these animals are omnivorous except one.,animals,Snail,Fox,Mouse,Opossum,Snail
2,Three of these Latin names are names of bears. Which is the odd one?,animals,Felis silvestris catus,Melursus ursinus,Helarctos malayanus,Ursus minimus,Felis silvestris catus
3,These are typical Australian animals except one.,animals,Sloth,Platypus,Dingo,Echidna,Sloth
4,Representatives of three of these species produce venom of their own. Which is the odd species?,animals,Mosquitos,Lizards,Scorpions,Frogs,Mosquitos
5,Three of these species shed their skin. Which one does not?,animals,Penguins,Penguins,Snakes,Insects,Crustaceans
7,All of these animals have large ears (relative to their size) except one.,animals,Polar bears,Polar bears,Foxes,Bats,Elephants
8,This percentage of all snakes on Earth are lethal to humans.,animals,15%,10%,20%,15%,25%
9,Snakes are this kind of animals.,animals,Carnivorous,Herbivorous,Omnivorous,Carnivorous,Vegetarian
10,Snakes consume their food by means of this process.,animals,Swallowing,Breathing,Absorption,Swallowing,Chewing
14,Snakes belong to the following category.,animals,Reptiles,Invertebrates,Lizards,Reptiles,Mammals
15,A specialist in snakes is called one of these.,animals,Ophiologist,Pisciculturist,Ornithologist,Ophiologist,Herpetologist
16,One of the following snakes does not belong to the Viperidae family.,animals,Grass snake,Horned adder,Grass snake,Viper,Asp
18,"Cobras are venomous snakes of family Elapidae, that generally inhabit regions of these two continents.",animals,Asia and Africa,South America and Asia,Asia and Africa,Asia and Australia,South America and Australia
19,"The cobras most recognizable feature is its hood, a flap of skin and muscle behind the head, believed to serve this purpose.",animals,More threatening appearance,Balance control,Heat collection from sun rays,Camouflage,More threatening appearance
20,"The Cobra is at the top of the food chain, with only two main predators -- one is man and the other is this animal.",animals,Mongoose,Jackal,Mongoose,Lynx,Eagle
21,This is where the Cobras ribs are situated.,animals,Behind its head,Behind its head,"In its chest, around the middle of the body",Cobras have no ribs,In its tale
23,A baby cobra is fully able to defend itself in as little as this many hours after being born.,animals,3,3,12,48,72
