,question,category,answer,choices/0,choices/1,choices/2,choices/3
0,Urban Meyer left the head coach position at the Utah Utes to become head coach of this team.,television,University of Florida,Florida St.,Bowling Green,University of Florida,University of Miami
1,"Jack Bauer, Nina Myers and George Mason are three of the characters of this TV series.",television,24,24,3 South,60 Minutes,20/20
2,"Harry Solomon, Dick Solomon and Dr. Mary Albright.",television,3rd Rock from the Sun,Battlestar Galactica,3rd Rock from the Sun,The A-Team,7th Heaven
3,"The annoying neighbours, the Ochmoneks are from this TV show.",television,ALF,Dawsons Creek,ALF,Beverly Hills 90210,All My Children
4,One of these characters is not from Baywatch.,television,Kelly Taylor,Hobie Buchannon,Jill Riley,Kelly Taylor,Craig Pomeroy
5,Gilbert (Gil) Arthur Grissom is the night shift team supervisor from this TV show.,television,CSI: Crime Scene Investigation,The City,CSI: Crime Scene Investigation,CSI: New York,CSI: Miami
6,One of these ER characters is not a doctor.,television,Samantha Taggart,Gregory Pratt,Ray Barnett,Dave Malucci,Samantha Taggart
7,This was one of the best known bosses of Fred Flintstone.,television,Mr. Slate,Mr. Jones,Mr. Slate,Mr. Garret,Mr. Smith
8,Julie Cooper and Summer Roberts are two characters from this TV series.,television,The O.C.,Dawsons Creek,The O.C.,Beverly Hills 90210,One Tree Hill
9,"Charlotte York, Miranda Hobbes and Samantha Jones are female characters from this TV show.",television,Sex and the City,Desperate Housewives,Sex and the City,Gilmore Girls,Smallville
10,Kelly and Bud are the kids of a family depicted in this TV series.,television,Married... with Children,Married... with Children,Happy Family,The Partridge Family,All in the Family
11,What is the name of the episode of SpongeBob SquarePants in which Sponge and friends all had superpowers?,television,Mermaid Man and Barnicle Boy 3,Mermaid Man and Barnicle Boy 3,Fry Cook Games,Mermaid Man and Barnicle Boy 2,Bubblestand
12,Where does SpongeBob SquarePants live in the self-titled series?,television,In a pineapple,In a coconut,In an apple,In a pineapple,In a watermelon
13,"Sandy Cheeks, the popular character from the animated series SpongeBob SquarePants, is from what state?",television,Texas,Alaska,Florida,Texas,Georgia
14,"What is the secret ingredient of The Fake Krabby Patty, a sandwich mentioned in the series SpongeBob SquarePants?",television,Four heaping pounds of plankton,Jellyfish jelly,Extra salt,A cup of love,Four heaping pounds of plankton
15,What was the name of the toy shell SpongeBob and Patrick had with them in the Kelp Woods?,television,Magic conch shell,Magic Clam shell,Hermit Crab Shell Toy,Spiral,Magic conch shell
16,Where does the cartoon character SpongeBob work?,television,Krusty Krab,Krusty Krab,Chum Bucket,Tuff Tavern,Beach Bums
17,Which character from the animated series SpongeBob SquarePants spoke the words from the sound clip?,television,Squidward Tentacles,Patrick Star,Squidward Tentacles,Mr.Crabs,Gary
18,Which SpongeBob SquarePants character spoke the following words?,television,SpongeBob SquarePants,Plankton,SpongeBob SquarePants,Gary,Squidward Tentacles
19,Rachel from Friends moves to live with the rest of the friends after escaping her marriage to this man.,television,Barry,Mark,Mike,Frank,Barry
20,Alf from the sitcom series has very few friends outside the Tanners. One of them is the boy that lives with Trevor and Raquel Ochmonek. This is their relation to him.,television,He is their nephew.,He is their adopted son.,He is their nephew.,He is their son.,He is their grandchild.
21,Doctor Peter Benton was a fictional medical doctor on the television series ER from season one through season eight. What is characteristic of his son?,television,He is deaf.,He is mentally-challenged.,He is blind.,He is deaf.,He is a girl.
23,The last episode of Everybody Loves Raymonds ninth season depicts a medical accident that affects this character.,television,Raymond,Raymond,Frank,Marie,Debra
24,Rose (Kate Winslet) from Titanic (1997) is this old when the ship sinks.,television,17,20,14,23,17
25,Before Neo joins Morpheus and his group (The Matrix) he works as this.,television,Software programmer,Scientist,Internet broker,Software programmer,He is unemployed
26,Darth Sidious is portrayed in all of these Star Wars movies except this one.,television,Star Wars Episode IV: A New Hope,Star Wars Episode I: The Phantom Menace,Star Wars Episode III: Revenge of the Sith,Star Wars Episode II: Attack of the Clones,Star Wars Episode IV: A New Hope
27,"This fictional TV character was Mikes wife, and a mother to Greg, Marcia, Peter, Jan, Bobby and Cindy.",television,Carol Brady,Marian Cunningham,Shirley Partridge,Mary Hartman,Carol Brady
28,"This TV mom, who had a daughter named Gloria, was married to the working class bigot Archie.",television,Edith Bunker,Carol Brady,Louise Jefferson,Marcia Brady,Edith Bunker
29,This TV character and her husband Barney had an extremely strong son named Bamm Bamm.,television,Betty Rubble,Carly Simon,Wilma Flintstone,Betty Rubble,Morticia Addams
30,"This TV moms son, Little Ricky, learned to sing Babalou like his dad, Ricky.",television,Lucy Ricardo,Ethel Mertz,Mortica Addams,Lucy Ricardo,Marian Cunningham
31,"This TV mom was married to Herman, who caused more trouble than her son Eddie.",television,Lily Munster,Olivia Newton John,Carol Partridge,Mortica Addams,Lily Munster
32,"Which widowed TV mother travelled around in a colorful bus with her children Keith, Laurie, Danny, Christopher and Tracy?",television,Shirley Partridge,Marian Cunningham,Shirley Partridge,Carol Brady,Mortica Addams
33,This TV personality and her husband Ward were the loving parents of Wally and the Beaver.,television,June Cleaver,Lily Munster,Edith Bunker,Marian Cunningham,June Cleaver
34,"This TV mom and her husband Charles were busy raising Mary, Laura and Carrie in Walnut Grove, Minnesota.",television,Caroline Ingalls,Mortica Addams,Marian Cunningham,June Cleaver,Caroline Ingalls
35,Which TV mom moved to Manhattans Upper East Side with her son Lionel and her husband George?,television,Louise Jefferson,Edith Bunker,Carol Brady,Anne Jones,Louise Jefferson
36,"Pugsley and Wednesday were the kids of this TV mom and her husband, Gomez.",television,Morticia Addams,June Cleaver,Edith Bunker,Betty Rubble,Morticia Addams
37,This red-haired TV character was the wife of Fred and the mother of Pebbles.,television,Wilma Flintstone,Carrie Fisher,Betty Rubble,Wilma Flintstone,June Cleaver
38,"This TV mother divorced her husband and moved back to her hometown of Indianapolis with her two daughters, Julie and Barbara.",television,Ann Romano Royer,Carol Partridge,Ann Romano Royer,June Cleaver,Carrie Fisher
39,"This TV mom and her husband Howard were the parents of Chuck, Richie and Joanie.",television,Marion Cunningham,Carol Brady,Marion Cunningham,Edith Bunker,Shirley Partridge
40,In The Pilot who is dressed as a bride and becomes a room mate to Monica?,television,Rachel,Phoebe,Janice,Chandler,Rachel
41,What was the nickname that never caught on for Ross?,television,Rossatron,The divorcer,Fossil dude,Rossatron,Rossasaurous
