,question,category,answer,choices/0,choices/1,choices/2,choices/3
0,Which vegetables are considered taboo food in Buddhist tradition?,humanities,Garlic and onion,All legumes,Garlic and onion,Eggplants and tomatoes,Cabbage and lettuce
3,Which of these sentences is correct?,humanities,Whence did he come?,"From hence to eternity, I will search.",Whence did he come?,From whence did he come?,"If you build it, thence he will come."
4,Which of these is correct?,humanities,The capitol building is located in the capital.,The capitol building is located in the capitol.,The capital building is located in the capital.,The capitol building is located in the capital.,The capital building is located in the capitol.
6,Which of the following is NOT a synonym of the word reticent?,humanities,These are all synonyms of the word reticent.,These are all synonyms of the word reticent.,Restrained,Silent,Reluctant
7,Which of the following is incorrect?,humanities,These are all correct usages of the word comprised.,The class comprised 30 people.,Thirty people comprised the class.,These are all correct usages of the word comprised.,The class was comprised of 30 people.
8,Which of these is incorrect?,humanities,All of these sentences are correct.,He woke up at six.,All of these sentences are correct.,He awoke at six.,He awakened at six.
9,Which of these sentences means I love you in Spanish?,humanities,Te amo.,Te amo.,Kocham cie.,Mi amas vin.,Ti amo.
10,Rakastan sinua is one of the ways to say I love you in which European language?,humanities,Finnish,Bulgarian,French,Finnish,German
11,Which expression would you use to say I love you in Danish?,humanities,Jeg elsker dig.,Jeg elsker dig.,Volim te.,I love thee.,Je taime.
12,In what European language does Je taime mean I love you?,humanities,French,Swedish,Italian,German,French
13,Which of the following sentences means I love you in German?,humanities,Ich liebe Dich.,Ich liebe Dich.,Te amo.,Volim te.,Je taime.
14,Volim te means I love you in three of these European languages. Which is the odd one?,humanities,Italian,Croatian,Bosnian,Italian,Serbian
15,What is the Swahili expression for I love you?,humanities,Nakupenda,Te quiero,Nakupenda,Ti amo,Je taime
16,In which Turkic language does Seni seviyorum mean I love you?,humanities,Turkish,Navajo,Hebrew,Icelandic,Turkish
17,"Name this artificially-constructed international language, in which Mi amas vin means I love you.",humanities,Esperanto,Thai,Navajo,Spanish,Esperanto
18,Which of these sentences means I love you in Dutch?,humanities,Ik hou van jou.,Ti amo.,Ik hou van jou.,Ne mohotatse.,Ich liebe Dich.
19,"The implement, used to extinguish the flame of a candle, is called this.",humanities,Candlesnuffer,Candleberry,Candleholder,Candlestick,Candlesnuffer
20,"When something contains or yields an acid, it is this.",humanities,Acidiferous,Acidiferous,Acidophilous,Acidimetric,Acidifiable
21,"The monitoring, recording, and measuring of a living organisms basic physiological functions is known as this.",humanities,Biotelemetry,Biomedicine,Bipartisanism,Biosystematy,Biotelemetry
22,Enterokinase is this.,humanities,Enzyme,Disease,Medical condition,Enzyme,Hormone
23,Copious perspiration is known as this.,humanities,Diaphoresis,Diaphoresis,Deuterogamy,Detumescence,Diabolisation
24,Gerontology is the branch of medical science that deals with diseases and problems specific to these people.,humanities,Elderly,Adults,Elderly,Blind people,Children
25,"One of these terms means preserving the mutual relations of parts, especially as to size and form; maintaining relative proportion.",humanities,Homolographic,Homologisation,Homomorphic,Homomorphism,Homolographic
26,Hyperplasia is the abnormal increase in the number of these.,humanities,Cells,Species,Habitat,Teeth,Cells
27,The authority to teach religious doctrine is referred to as this.,humanities,Magisterium,Mastigophoran,Magistrature,Magistrateship,Magisterium
28,"The word vampire is a very controversial one, when it comes to its etymology. There are many theories about its origin and meaning. According to one of these theories, vampire comes from the Magyar words vam, meaning blood, and pir. What does pir mean in Magyar?",humanities,Monster,Blood,Animal,Human,Monster
29,"One of the most famous vampires is Dracula (some believe that he was the first vampire). In Romanian Dracul means either Dragon or Devil and therefore Dracula is translated as Son of the Dragon or Son of the Devil. Due to his favorite sadistic punishment, Vlad Dracula was nicknamed Tepes.  He preferred to kill those who opposed him in this manner.",humanities,Impalement,Hanging,Disembowelment,Impalement,Beheading
31,"Of course everybody knows about the Blood Vampires. They feed on the blood of their victims and prefer sucking it from the neck, the wrist or the groin. But there is another, less known, kind of vampires.  What do they feed on?",humanities,Aura,Vegetables,Flesh,Brains,Aura
32,"Vampires are common to the folklore of many countries. The Civatateo is an Aztec vampire, created when a noblewoman died at childbirth. In aboriginal mythology, vampires had suckers on their fingers. What are the Yakshis (sort of Indian vampires) like?",humanities,Beautiful women,Beautiful women,Ugly Men,Wounded Wolves,Innocent Children
34,"One of the most popular ways of killing a vampire (apart from the trivial sharp wooden stick in the heart), is to expose the creature to sunlight. However, there is a disease, that has similar symptoms. People who suffer from it are very sensitive to sunlight and avoid going out during the day. What is this horrible disease?",humanities,Porphyria,Anemia,Scrapie,Influenza,Porphyria
35,"This woman was believed to be a vampire. She was obsessed with her beauty and youth, and slaughtered as many as six hundred innocent women in an attempt to maintain her vitality. Although her guilt has never been proven, she is still one of the most famous serial killers in Hungarian and Slovak history.",humanities,Elizabeth Bathory,Janos Benicka,Ilona Ujvary,Katarina Szentes,Elizabeth Bathory
37,"Peter Kurten was called a vampire, because he consumed the blood of some of his victims. He was accused of nine murders and seven attempted murders and was sentenced to death. He was guillotined on 2 June 1932. What was his nationality?",humanities,German,Briton,Romanian,Russian,German
38,"The great circle on the celestial sphere, midway between the celestial poles is called this.",humanities,Equinoctial,Equilibration,Equinity,Equilibria,Equinoctial
39,"If I am famous for my steadiness of mind under stress, then I am famous for this.",humanities,Equanimity,Equid,Equalization,Equanimity,Equalitarianism
40,"If a statement is ambiguous, it is said to be this.",humanities,Equivocal,Equestrian,Equipoised,Equivocal,Equilateral
41,One of the four pairs of words below contains two synonyms.,humanities,Equal - Equivalent,Equal - Equivalent,Equipollent - Equipped,Equipotential - Equilateral,Equipage - Equipoise
52,"One of these words has mid-17th century Latin origins and is a synonym of the word, wavy.",humanities,Undulate,Unhair,Unialgal,Unduly,Undulate
53,Which of these definitions does not describe a present day meaning of the word sesquipedalian?,humanities,Having a lot of feet,Characterized by the use of long words,Having a lot of feet,Having many syllables,Large in length
55,Which of these words is used to describe something with a yellow color or tending toward a yellow color?,humanities,Xanthic,Xeric,Xenolith,Xanadu,Xanthic
57,"We all know purple and its numerous variations, but can you name the odd one in this synonymic order dedicated to the shade of purple?",humanities,Indigo,Lavender,Indigo,Amethyst,Wine
59,"The amarok, which is typical for the mythology of the Eskimos, is what kind of an animal?",humanities,wolf,whale,walrus,bear,wolf
60,"The banshee, a female spirit in Irish mythology, is known for doing what?",humanities,Wailing,Laughing,Stealing,Playing tricks,Wailing
61,"The hippocampus, a mythical monster with the head of a horse and body of a fish, pulled the chariot of which god?",humanities,Poseidon,Zeus,Poseidon,Mars,Neptune
62,Anubis was the jackal-headed judge of the dead from what mythology?,humanities,Egyptian,Egyptian,Aztec,Mesopotamian,Norse
63,The Kraken from seafaring lore was a monster often described as what?,humanities,Giant squid,Humpback whale,Giant jellyfish,Great White shark,Giant squid
64,A brownie is a legendary elf popular in the folklore of which two countries?,humanities,England  Scotland,Germany  Austria,England  Scotland,Ireland  Wales,Denmark  Holland
65,A cuero is a mythical giant octopus of which continent?,humanities,South America,South America,Africa,North America,Europe
66,"A dwarf is a little humanoid creature with a large head and a long beard, typical for what mythology?",humanities,Scandinavian,Cornish,Scottish,Celtic,Scandinavian
67,A ghul is an evil spirit encountered by travelers in what area of the world?,humanities,Arabian Dessert,Arabian Dessert,Scottish Highlands,Northern Africa,Australian Outback
68,The wodewose is a club-wielding ogre with green hair who suffers from what malady?,humanities,He was mute,He was mute,He was blind,He was lame,He was deaf
70,Priests often wore a mask of this god during mummification ceremonies.,humanities,Anubis,Bastet,Hapy,Aten,Anubis
71,God Bes was depicted as this.,humanities,Dwarf with lion and human features,Dwarf with lion and human features,Giant with dog and human features,Dwarf with dog and human features,Giant with lion and human features
72,Osiris had an equivalent in Greek mythology.  Who was this counterpart of his?,humanities,Hades,Herakles,Zeus,Hades,Hermes
74,The name of god Amen means this.,humanities,The Hidden One,The Wise One,The Stupid One,The Mighty One,The Hidden One
75,"At first, there was only this god. He was the dark waters of chaos.",humanities,Nun,Nun,Atum,Iris,Bes
76,The word tycoon means a wealthy businessperson.  What language does it come from?,humanities,Chinese,Greek,Latin,Russian,Chinese
77,"Apart from being the name of a well-known rock group, placebo also means an innocuous medicine, prescribed only for psychological effect over the patient or for experimentations. But what is its true meaning in Latin?",humanities,I shall please,Pleasure,Hypnotism,I shall please,Harmless
78,The original meaning of the word grotesque was very different from the one we know. What was it?,humanities,Fantastic,Foolish,Big,Illiterate,Fantastic
79,The Amazon estuary is truly magnificent. The word estuary comes from this language.,humanities,Latin,Latin,Chinese,Spanish,Portuguese
80,The word devil is derived from the Greek word diabolos. What does diabolos mean?,humanities,Accuser,Silly,Accuser,Offender,Insane
81,"After a divorce, the court might order one of the sides to pay an alimony. What are the origins of the word alimony?",humanities,Latin,Turkish,Greek,Latin,Japanese
82,The Greek word kome means hair of the head. Which one of these words derives from it?,humanities,Comet,Court,Coma,Comet,Comb
83,The name of the flower dandelion comes from this language.,humanities,French,Portuguese,Anglo-Saxon,French,Swedish
84,A good sense of humor is highly valued everywhere. The original meaning of the word humor in Latin (more accurately umor) is this.,humanities,Body fluid,State of mind,Body fluid,Good word usage,Good joke
85,"The word nice is very popular nowadays, but its original meaning in Latin is not as nice.",humanities,Ignorant,Disobedient,Clumsy,Ignorant,Hideous
86,The longest word in the English language is pneumonoultramicroscopicsilicovolcanoconiosis. It consists of 45 letters and stands for this.,humanities,Disease,Part of an organ,Surgical operation,Disease,Medical device
