,question,category,answer,choices/0,choices/1,choices/2,choices/3
1,Clouds are made up of these.,science-technology,Water droplets and ice crystals,Carbon atoms,Water droplets and ice crystals,Oxygen ions,Dust mites
2,This formation is a conical hill or mountain. It is formed by mantle material being pressed through an opening in the Earths crust.,science-technology,A volcano,A volcano,A hill,An earthquake,A geyser
3,"Japan suffers from this event very often. It is the sudden, light or violent movement of the earths surface caused by the release of energy in the earths crust.",science-technology,Earthquake,Volcano,Earthquake,Tide,Tsunami
4,It is the only continent that does not have land areas below sea level.,science-technology,Antarctica,Australia,South America,Antarctica,Arctica
5,It is the longest river in the world,science-technology,The Nile,Themes,The Amazon,The Nile,Danube
6,"Why do travelers to La Paz, Bolivia, often become ill as soon as they arrive?",science-technology,Because of the altitude,Because of the high temperature,Because of the humidity,Because of the soil quality,Because of the altitude
7,"In the US, why do we change our clocks on the daylight saving time dates in April and October?",science-technology,To conserve energy,To conserve energy,To increase the hours of the day,To extend the working day,Because the tourist period in most countries starts in May
8,These are places of arid land with really low rainfall and high tempertures variation. Their vegetation is insignificant and the population of people and animals is very limited.,science-technology,Deserts,Oceans,Raiforests,The equator,Deserts
9,This is a gemstone made by fossilized tree sap that is at least 30 million years old.,science-technology,Amber,Obsidian,Amber,Tourmaline,Malachite
10,This is the largest island on Earth and one third of it is a national park.,science-technology,Greenland,Greenland,Madagaskar,Australia,Alaska
11,Which of these organs has no known function in the human body?,science-technology,appendix,tonsils,appendix,uvula,pineal gland
12,The main function of this organ of respiration is to transport oxygen from the atmosphere into the bloodstream.,science-technology,lung,stomach,diaphragm,trachea,lung
13,This gland is shaped like a butterfly and helps regulate energy in the body.,science-technology,thyroid,parathyroid,thyroid,adrenal,thymus
15,These organs are very sensitive and often fail in people with very high blood pressure or diabetes.,science-technology,kidneys,pancreas,kidneys,ovaries,lungs
17,This is one of the first signs of pregnancy.,science-technology,Missed period,Swollen Feet,Missed period,Hair loss,Waddling
18,This doctor takes care of you and your baby during pregnancy.,science-technology,Obstetrician,Psychologist,Periodontist,Obstetrician,Pediatrician
19,What is the most common method of child birth?,science-technology,Vaginal,Cesarean,Vaginal,Water birth,In Vitro Fertilization
21,What are common side effects of pregnancy?,science-technology,All of the these,Stretch marks,Morning Sickness,All of the these,Weight gain
22,"How far along are you approximately, when you feel the baby move for the first time?",science-technology,20 weeks,10 weeks,35 weeks,2 weeks,20 weeks
23,What is suggested that you not do several hours before you go into labor?  It could get you embarrassed.,science-technology,Eat food,Eat fish,Have sex,Talk on the phone,Eat food
24,What is also delivered along with the baby or immediately after its birth?,science-technology,Placenta,Feet,Shoulders,Placenta,Handbook
25,These small bodies are considered left overs from the formation of the Solar system some 4.6 billion years ago.,science-technology,Asteroids,Comets,Stars,Planets,Asteroids
26,These are lumps of ice and dust.  When they get close enough to the Sun they gradually evaporate.  Jets of gas and dust create long tails that people can see from Earth.,science-technology,Comets,Asteroids,Comets,UFOs,Stars
27,This planet is slightly smaller than Earth and its closest neighbor (excluding the Moon).,science-technology,Venus,Venus,Uranus,Mars,Saturn
28,"This planet is has the largest  group of moons - 31, but it is best known for its ring system.",science-technology,Saturn,Neptune,Mars,Saturn,Venus
29,This planet of the Solar System was named after a Greek god of the sea and earthquakes. The name is actually the Roman translation of the gods name.,science-technology,Neptune,Mercury,Neptune,Pluto,Uranus
30,"As this is the closest planet to the Sun, its temperatures at the surface range between -300 and 800 F (hot enough for lead to melt).",science-technology,Mercury,Neptune,Mercury,Pluto,Venus
31,"The surface of this planet is unique, it is the only one which has water in large quantities.",science-technology,Earth,Saturn,Pluto,Earth,Mars
32,Which Solar System celestial bodys revolution around the Sun takes 248 years?,science-technology,Pluto,Saturn,Pluto,Neptune,Uranus
33,This is the largest planet in our solar system. It is most famous for its Great Red Spot.,science-technology,Jupiter,Mars,Neptune,Saturn,Jupiter
34,"Miranda, Ariel, Umbriel, Titania, Oberon, Caliban, and Sycorax are names of the icy moons of this planet.",science-technology,Uranus,Uranus,Jupiter,Saturn,Venus
36,An icon or animation to represent a participant used in Internet chat and games is referred to as this.,science-technology,Avatar,Bitmap,Cookie,Applet,Avatar
37,"If you and I are chatting over the Internet and I write LOL, that means that I am doing this.",science-technology,Laughing,Crying,Laughing,Sleeping,Eating
39,http://www.123facts.com/ is referred to as this.,science-technology,URL,TCP,WAP,URL,USB
40,One of the following pairs (chat abbreviation - its  meaning) is wrong.,science-technology,TTYL - To Tell You a Lie,BRB - Be Right Back,ATM - At The Moment,TTYL - To Tell You a Lie,TIA - Thanks In Advance
41,One of these things will not help you to get in touch with your neighbours PC.,science-technology,Cache server,Hub,Router,Cache server,Network card
43,"In chat jargon, the emoticon  [8-] refers to this person.",science-technology,Frankenstein,Elvis,Ronald Regan,Frankenstein,The Pope
44,"The medical term cardio, deriving from a Greek word, refers to which organ of the human body?",science-technology,Heart,Brain,Liver,Lungs,Heart
45,The term arthro is of Greek origin. It refers to which part of the body?,science-technology,Joint,Head,Skin,Bone,Joint
46,"Gastro is a common medical prefix, derived from the Greek word gastros which means what?",science-technology,Stomach,Gas,Brain,Cell,Stomach
48,"Erythrocytes are a type of blood cells, consisting mainly of hemoglobin. What does the word erythro mean?",science-technology,Red,Red,Knowledge,Cell,White
50,"The word adeno, deriving from Greek, refers to which to what body part?",science-technology,Gland,Flesh,Brain,Gland,Kidney
52,"Onco, coming from the Greek word onkos refers to what?",science-technology,Tumor,Ear,Nerve,Eye,Tumor
53,"The food colorants, cochineal and carmine, are made from what?",science-technology,A kind of insect,Frogs,A kind of insect,FDC Red Dye #40,None of these
54,"Jell-O, the popular gelatin dessert, is made in part, from what?",science-technology,Bones and hides,Bones and hides,Red ants,None of these,Horses and cows hooves
58,What food results in negative calories when eaten?,science-technology,All of these,Carrots,Celery,All of these,Radishes
59,"Chop Suey, a pasta dish consisting of short noodles, was originally made and served in which country?",science-technology,USA,Thailand,USA,China,Vietnam
61,"In 2003, the FDA issued a warning about a possible connection between green onions and which disease?",science-technology,Hepatitis A,None of these,Gall stones,Hepatitis A,Cancer
64,"This progressive generative disease of the brain results in loss of cognitive ability and uncontrolled movements, called chorea, the Greek word for dance.",science-technology,Huntingtons Disease,Alzheimers Disease,Myasthenia Gravis,Multiple Sclerosis,Huntingtons Disease
65,Which of these is best describes the cause of Parkinsons disease?,science-technology,A decrease in a neurotransmitter,A brain injury,Changes in the myelin sheath of the neuron,Decreased blood flow to the brain,A decrease in a neurotransmitter
66,"If your physician tells you that you have Presbycusis due to the normal process of aging, he may suggest that you need which of these?",science-technology,Hearing aid,Dentures,Glasses,A wheelchair,Hearing aid
67,Which of these medical terms means difficulty in swallowing.,science-technology,dysphagia,dyspepsia,dysuria,dyspnea,dysphagia
69,"If you have hyperthyroidism, your body is overproducing what hormone?",science-technology,Thyroxine,Estrogen,Thyroxine,Glucagon,Thyrocalcitonin
70,"Which of these most accurately describes the medical term, necrosis?",science-technology,Death of living tissue,Irregular heartbeat,Death of living tissue,Decrease in white blood cells,Liver damage
71,"Your physician has ordered an electroencephalogram (EEG), the graphic recording of the electrical activity of what organ?",science-technology,Brain,Muscles,Liver,Heart,Brain
72,"In the US, what was the average street cost of a lid (3/4 ounce bag) of marijuana in the mid 1970s?",science-technology,$15.00,$20.00,$10.00,$15.00,$5.00
73,"Marijuana is known by many names, including all of these but one. Which is the odd name?",science-technology,Janu,Mary Jane,Weed,Pot,Janu
74,What is marijuanas primary active ingredient?,science-technology,THC,THC,TCB,TAC,TBC
75,How many different chemicals can be found in marijuana?,science-technology,More than 400,150,Less than 5,More than 400,200
77,Which side effect is not related to the use of marijuana?,science-technology,Violent behaviour,Silly and causeless giggling,"Red, bloodshot eyes",Dizziness and staggering,Violent behaviour
79,"With the passage of the Marijuana Tax Act, the United States effectively banned recreational and medicinal use of cannabis. What year was this act adopted?",science-technology,1937,1945,1937,1972,1965
80,"By amending its Opium Act in 1976, the government of which country decided to treat possession of up to 30 grams of marijuana as an activity not for prosecution, detection or arrest?",science-technology,Holland,Columbia,Holland,Canada,USA
81,"What US state enacted Proposition 215, the Compassionate Use Act, which allowed sick and dying patients to legally use marijuana for medicinal purposes?",science-technology,California,Alabama,Hawaii,California,Ohio
82,"The sphygmomanometer is a device invented by Samuel Siegfried Karl Ritter von Basch, used to measure what?",science-technology,Blood pressure,Blood pressure,Myopia,Intensity of headaches,Heart murmurs
83,"This disorder, from a Greek word meaning failure to put in order, is characterised by lack of muscular coordination, and often occurs when parts of the nervous system which control movement are damaged.",science-technology,Ataxia,Narcolepsy,Dyslexia,Hyperkinesis,Ataxia
84,This disorder is the abnormal accumulation of cerebrospinal fluid in the ventricles of the brain.,science-technology,Hydrocephalus,Spina bifida,Multiple sclerosis,Epilepsy,Hydrocephalus
86,"This is the colloquial equivalent of the medical term Herpes zoster, which is used to define a condition, caused by the varicella zoster virus.",science-technology,Shingles,Cold sores,Sementia,Mumps,Shingles
87,"Pre-eclampsia, thought to be caused by inflammatory mediators, is a medical condition associated with which of these?",science-technology,Pregnancy,Pregnancy,Eye infections,Brain tumor,Bronchitis
89,"What medical term is synonym of jaundice, a condition characterized by yellowing of the skin, sclera and mucous membranes?",science-technology,Icterus,Icterus,Ascites,Anorexia,Nausea
90,The presence of gallstones in the gallbladder is defined by what medical term?,science-technology,Cholelithiasis,Dysentery,Hepatitis,Cholelithiasis,Cirrhosis
92,"The term encephalon, defined as the brain of a vertebrate, derives from a Greek word which means what?",science-technology,In the head,In the mind,Forehead,In the backbone,In the head
94,The term blepharo derives from a Greek word and refers to which part of the body?,science-technology,Eyelid,Artery,Larynx,Eyelid,Lungs
96,Which of these medical terms refers to air passages in the lungs?,science-technology,Bronchial tubes,Neurons,Axons,Terminals,Bronchial tubes
97,"The word phlebo is of Greek origin, which comes from the root phlein, meaning to gush or to overflow.  What part of the body does this word refer to?",science-technology,Veins,Aorta,Arteries,Capillaries,Veins
98,The medical prefix bucco refers to which part of the head?,science-technology,Cheek,Forehead,Eye,Cheek,Nose
99,"The medical prefix oophoro, which derives from Greek, refers to which part of the body?",science-technology,Ovary,Muscle,Uterus,Abdomen,Ovary
101,"The prefix of Greek origin, oto is used in medical terminology to refer to what body part?",science-technology,Ear,Nose,Mouth,Ear,Eye
