,question,category,answer,choices/0,choices/1,choices/2,choices/3
0,"The controversial lyrics of this song by The Rolling Stones include, Its Down to me, the way she talks when shes spoken to",music,Under My Thumb,Heart of Stone,Under My Thumb,Play With Fire,Its All Over Now
1,"Mick Jagger sings Baby, baby, theres fever in the funk house now on this song.",music,Tumbling Dice,Tumbling Dice,Gimme Shelter,Street Fighting Man,Jumpin Jack Flash
2,Lose Your Dreams and you will lose your mind are lyrics from this 1967 hit by The Rolling Stones.,music,Ruby Tuesday,As Tears Go By,(I Cant Get No) Satisfaction,Shes A Rainbow,Ruby Tuesday
3,"Part of this song by The Rolling Stones goes, We decided that we would have a soda - my favorite flavor, cherry red?",music,You Cant Always Get What You Want,Jumpin Jack Flash,Hot Stuff,Mothers Little Helper,You Cant Always Get What You Want
4,"The lyrics of this song by the Rolling Stones include the phrase Rape, murder!",music,Gimme Shelter,Sympathy for the Devil,Street Fighting Man,Harlem Shuffle,Gimme Shelter
5,"Jon Bon Jovi, Richie Sambora, Alex John Such, Tico Torres, Dave Bryan",music,Bon Jovi,Bon Jovi,Whitesnake,Cinderella,Def Leppard
6,"Don Dokken, George Lynch, Jeff Pilson, Mick Brown",music,Dokken,L. A. Guns,Guns N Roses,Faster Pussycat,Dokken
7,"Bret Michaels, Bobby Dall, Rikki Rockett, C.C DeVille",music,Poison,Cinderella,Poison,New York Dolls,Motley Crue
8,"Fred Coury, Tom Keifer, Eric Brittingham, Jeff LaBar",music,Cinderella,Great White,Cinderella,Ratt,Whitesnake
9,"David Coverdale, Rudy Sarzo, Tommy Aldridge, Steve Vai",music,Whitesnake,Great White,Poison,Tesla,Whitesnake
10,"Dave The Snake Sabo, Rachel Bolan, Sebastian Bach, Rob Affuso, Scott Hill",music,Skid Row,Bon Jovi,W.A.S.P,Motley Crue,Skid Row
11,"Tommy Lee, Vince Neil, Nikki Sixx, Mick Mars",music,Motley Crue,Poison,Great White,Whitesnake,Motley Crue
