,question,category,answer,choices/0,choices/1,choices/2,choices/3
0,In which US state is the active Mount Rainier volcano located?,history,Washington,Michigan,Ohio,Washington,New York
1,"In 1990, this 5000 year old body was found in the Alps. Scientists discovered some tattoos on his leg which indicated that acupuncture was used as far back as the Copper-stone Age.",history,Oetzi,Big Foot,Sasquatch,Nessie,Oetzi
2,"After unsuccessful  talks about oil production and debt repayment, Iraq occupied Kuwait.  In January 1991 the US launched an air attack against military targets in Iraq and Kuwait in this operation.",history,Desert Storm,Matador,BOLERO,Determined Force,Desert Storm
3,"It is the process of producing identical copies of a DNA segment asexually.  In 1996 the first successful one of an animal was made. The animals name was Dolly.  Dolly later died, but Richard Seed announced that he intended try it on humans.",history,Cloning,Organ Transplant,Cloning,Bloodless Surgery,Laser Surgery
4,"This kind of music became largely popular in Europe and America in the 1990s. It is a melodic, free form combination between techno and house, having hypnotic qualities. The first distinctive track of this kind was Age Of Love, released in 1990.",history,Trance,Electro,Trance,Techno,Dance
5,"This womans death was arguably the most shocking one of the decade. She died in 1997 in a car crash while evading paparazzi. The woman was taken to a hospital, but the two-hour efforts of surgeons to save her life were unsuccessful.",history,Princess Diana,Greta Garbo,Nancy Marchand,Madam C. J. Walker,Princess Diana
6,"This union, made up of European countries, was established by the Maastricht Treaty in 1992. Starting as a trade body it is now an economic and political partnership between its members.",history,The European Union,American Labor Union,Oxford Union,The European Union,European Trade Union
7,"Although the first one was sent in 1971, it became widely popular in 1998. Its popularity caused explosive growth of the internet.",history,The E-mail,The Chat programs,The URL,The E-mail,The Website
8,"Impeachment stands for quickly removing dangerously criminal officials from high office. The Impeachment Trial in the Senate for this US President commenced on January 7, 1999.",history,Bill Clinton,George Bush,Ronald Reagan,Bill Clinton,Richard Nixon
9,"On August 17, 1999 this disaster took the lives of 15 000 and injured 23 000 people in western Turkey.",history,Earthquake,Earthquake,Tsunami,Avalanche,Volcano eruption
10,"These became more advanced and more popular in the 1990, with some of the most influential ones being  the Super Nintendo Entertainment System, the Sony Playstation, and the Sega Dreamcast.",history,Video Game consoles,Dating sites,Virtual reality systems,Video Game consoles,Computer games
11,The Punic Wars were a series of three wars fought between these two powers.,history,Rome and Carthage,Rome and Athens,Athens and Sparta,Carthage and Athens,Rome and Carthage
12,The 1938 incorporation of Austria in Greater Germany under the Nazi Regime is known as this.,history,Anschluss,Ansatz,Abwer,Anschluss,Ahnentafel
13,Henry Kissinger held this US post from 1974 to 1977.,history,Secretary of State,President of the Senate,Speaker of the House of Representatives,National Security Advisor,Secretary of State
14,One of these cities has been Japans capital in the past.,history,Kyoto,Kyoto,Yokohama,Hiroshima,Osaka
