,question,category,answer,choices/0,choices/1,choices/2,choices/3
0,"I would rather be a ghost drifting by your side as a condemned soul than enter heaven without you. Because of your love, I will never be a lonely spirit. (2000)",movies,"Crouching Tiger, Hidden Dragon",Don Juan DeMarco,Ever After,"Crouching Tiger, Hidden Dragon",Dracula
1,There are only four questions of value in life. What is sacred? Of what is the spirit made of? What is worth living for? What is worth dying for? The answer to each is the same. Only love. (1995),movies,Don Juan DeMarco,When Harry Met Sally,Don Juan DeMarco,Cant Hardly Wait,Ten Things I Hate About You
2,I have crossed oceans of time to find you. (1992),movies,Dracula,Moulin Rouge,Notting Hill,A Knights Tale,Dracula
3,"I came here tonight because when you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible. (1989)",movies,When Harry Met Sally,When Harry Met Sally,Wuthering Heights,Youve Got Mail,The Mask of Zorro
4,Love has given me wings so I must fly. (2001),movies,A Knights Tale,A Knights Tale,Phenomenon,Ever After,Forget Paris
5,"Love? Above all things I believe in love! Love is like oxygen! Love is a many splendored thing, love lifts us up where we belong, all you need is love!
(2001)",movies,Moulin Rouge,Hope Floats,Some Like It Hot,Casablanca,Moulin Rouge
6,"It doesnt matter if the guy is perfect or the girl is perfect, as long as they are perfect for each other. (1997)",movies,Good Will Hunting,Forest Gump,The Shawshank Redemption,Citizen Kane,Good Will Hunting
7,"I am someone else when Im with you, someone more like myself. (2001)",movies,Original Sin,Sunrise: A Song of Two Humans,Trouble in Paradise,In America,Original Sin
8,"If he loved you with all the power of his soul for a whole lifetime, he couldnt love you as much as I do in a single day. (1992)",movies,Wuthering Heights,Romeo and Juliet,Wuthering Heights,Shakespeare in Love,Sideways
9,"Take love, multiply it by infinity and take it to the depths of forever and you still have only a glimpse of how I feel for you. (1998)",movies,Meet Joe Black,Moulin Rouge,My Best Friends Wedding,Message In A Bottle,Meet Joe Black
10,One of these James Bond movies was not released during the 80s.,movies,Moonraker,A View to a Kill,Octopussy,Moonraker,For Your Eyes Only
11,"It is a dark time for the
Rebellion. Although the Death
Star has been destroyed,
Imperial troops have driven the
Rebel forces from their hidden
base and pursued them across
the galaxy.

The above-quoted opening scroll belongs to this movie.",movies,The Empire Strikes Back,Back to the Future,The Final Countdown,The Hitch Hikers Guide to the Galaxy,The Empire Strikes Back
12,This is Babys real name in Dirty Dancing (1987).,movies,Frances,Barbara,Frances,Susan,Jennifer
13,"In A Nightmare On Elm Street, Nancy lives on Elm Street, located in this fictional city in Ohio.",movies,Springwood,Derry,Ambervale,Springwood,Blackwood County
14,"In the movie Rain Man, Raymond and Charlie are at the restaurant when a waitress drops a box of toothpicks. This prompts Raymond to instantly calculate the number of toothpicks on the floor. This was their number.",movies,246,246,250,321,123
15,One of these actors did not star in Tootsie.,movies,Larry Gelbart,Jessica Lange,Teri Garr,Dustin Hoffman,Larry Gelbart
16,Axel Foley in Beverly Hills Cop is originally a policeman from this city.,movies,Detroit,Detroit,Chicago,Denver,San Fransisco
17,Indiana Jones from the movie of the same name could write and speak this number of languages.,movies,27,11,27,2,6
18,A group of Earth children help a stranded alien botanist return home is the plot outline of this movie.,movies,E.T. the Extra-Terrestrial,Star Wars: Episode VI - Return of the Jedi,The Hitch Hikers Guide to the Galaxy,Cyborg,E.T. the Extra-Terrestrial
19,What year did the movie The Shawshank Redemption hit the movie theatres?,movies,1994,1992,1994,1990,1996
21,What decade was Andy Dufresne sent to the Shawshank prison in the movie The Shawshank Redemption?,movies,1940s,1940s,1920s,1930s,1950s
22,In the popular movie The Shawshank Redemption Andy Dufresne has a poster hanging on his wall in his jail cell. Who is the famous actress on this poster?,movies,Rita Hayworth,Greta Garbo,Jayne Mansfield,Rita Hayworth,Bette Davis
23,In the movie The Shawshank Redemption Andy Dufresne had a best friend in jail named Red. Why did they call him Red?,movies,It was short for his last name.,He had red hair.,It was short for his last name.,His favorite color was red.,He had a horrible temper.
24,"Andy Dufresne, the main character in the movie The Shawshank Redemption, asks Captain Byron Hadley for some suds for his fellow workers, while they are working together on the roof. What kind of beer did the prisoners get?",movies,Strohs,Strohs,Budweiser,Amstel,Heineken
26,"In the movie The Shawshank Redemption, what was Reds jail cell number?",movies,237,237,125,416,444
28,Who was the director of the hit movie The Shawshank Redemption?,movies,Frank Darabont,Ron Howard,Rob Reiner,Frank Darabont,Shimon  Bentzvi
29,What was the budget for the movie The Shawshank Redemption?,movies,"$ 25,000,000","$3,000,000","$ 100,000","$ 10,000,000","$ 25,000,000"
30,"In the movie The Shawshank Redemption, the prisoners are shown watching what movie?",movies,Gilda,Gilda,Its a Mad Mad World,Happy girl 1223 Strikes Again,The Three Stooges
31,Who directed the blockbuster movie Forrest Gump?,movies,Robert Zemeckis,Steven Soderbergh,Robert Zemeckis,Tony Scott,John Hughes
32,"In the opening scene of the movie Forrest Gump, Forrest is sitting on a bench waiting to catch a bus in what southern U.S. city?",movies,Savannah,Birmingham,Atlanta,Columbia,Savannah
33,Which U.S. president did Forrest NOT get to meet in person in the movie Forrest Gump?,movies,Gerald Ford,Gerald Ford,Lyndon B. Johnson,John F. Kennedy,Richard M. Nixon
34,"In the movie Forrest Gump, Mrs. Gump (played by Sally Field) ran a boarding house where a young Forrest taught one of the special guests how to dance. Who was this special guest?",movies,Elvis Presley,Fred Astaire,Elvis Presley,Dick Van Dyke,Gene Kelly
35,"In the self-titled movie, Forrest Gump appears on the Dick Cavett Show to talk about his visit to China.  Who was the other guest on the Dick Cavett Show sitting next to Forrest, wearing a U.S. Army jacket?",movies,John Lennon,Abbie Hoffman,Jane Fonda,John Lennon,John Wayne
36,"In the movie Forrest Gump, Forrest joins the U.S. Army and becomes best friends with Benjamin Buford Blue (played by Mykelti Williamson). What was Benjamins nickname?",movies,Bubba,Beau,Billy,Bennie,Bubba
37,"For which university did fictional character Forrest Gump play college football, earning All-American honors?",movies,University of Alabama,University of Alabama,University of Florida,Auburn University,University of Georgia
38,"In the movie Forrest Gump, Jenny (played by Robin Wright-Penn) and Forrest were childhood friends. As they got older, Forrest went into the U.S. Army and Jenny became a folk singer at a local strip club, using this stage name.",movies,Bobbie Dylan,Johnnie Cash,Abby Hoffman,Mickey Jagger,Bobbie Dylan
39,The famous fictional character Forrest Gump wins the Congressional Medal of Honor by saving most of the men in his squad. Forrest himself is wounded during his heroic rescue. Where is Forrest wounded?,movies,in the buttocks,in the stomach,in the arm,in the leg,in the buttocks
40,"The Forrest Gump soundtrack was hugely popular, selling over 12 million copies. Which song/artist was not on the Forrest Gump soundtrack?",movies,Satisfaction by The Rolling Stones,Satisfaction by The Rolling Stones,Break on Through (To the Other Side) by The Doors,California Dreamin by The Mamas and the Pappas,Fortunate Son by CCR
41,What was Forrests favorite book in the movie Forrest Gump?,movies,Curious George,Cat in the Hat,Alice in Wonderland,The Chronicles of Narnia,Curious George
42,"In the movie Forrest Gump, what were the last words uttered by Pvt. Benjamin Blue to Forrest, just before he died?",movies,I want to go home,I want my Mama,I want to go home,Am I going to make it?,What are we doing here?
43,"In the movie Forrest Gump, this actor played Lt. Dan Taylor, the commanding officer of Forrest when he first arrived in Vietnam.",movies,Gary Sinise,Gary Sinise,Jack Nicholson,Ed Harris,Robert Duvall
44,Which 2001 movie is this audio clip from?,movies,A Knights Tale,First Knight,A Knights Tale,Robin Hood: Prince of Thieves,Black Knight
45,"The movie Back to the Future, directed by Robert Zemeckis, was released in what year?",movies,1985,1955,1986,1987,1985
46,What was the name of Doc Browns dog in the film Back to the Future?,movies,Einstein,Shep,Einstein,Edsel,Shaggy
48,"In the movie Back to the Future, when Marty is in the diner in 1955, he asks for what kind of drink?",movies,All of these,something without sugar,All of these,Tab,Pepsi free
49,"In Back to the Future, Doc Brown invented this device, which in his words is what makes time travel possible.",movies,flux capacitor,transference capacitor,jauntinator,transcendental tripometer,flux capacitor
50,"In 1955, Doc Brown, one of the lead characters in Back to the Future lives on which street?",movies,Riverside Drive,Maplewood Ave,John F. Kennedy Drive,Pine St,Riverside Drive
51,Where does Martys older brother work in 1985 in the movie Back to the Future?,movies,Burger King,McDonalds,Burger King,Taco Bell,Wendys
52,"In 1955, when trying to convince his teenage father George McFly to ask Lorraine out, Marty appears in a radiation suit and says his name is what?",movies,Darth Vader,Mr. Spock,Captain Kirk,Luke Skywalker,Darth Vader
53,"In the film Back to the Future, in 1955 Martys parents were supposed to go  a school dance, named what?",movies,Enchantment Under the Sea,Enchantment Under the Sea,Enchanted Future,Sadie Hawkins Day Dance,Fish Under the Sea
55,"In the film Back to the Future, the building where the diner was located in 1955, houses what type of studio in 1985?",movies,Aerobics studio,Art studio,Recording studio,None of these,Aerobics studio
56,"In Back to the Future, what did Goldie Wilson do in 1955, before becoming mayor?",movies,Worked in the diner,Played in Marvin Berrys rock and roll group,He was a drifter,Pumped gas at the filling station,Worked in the diner
58,"In the movie The Wizard of Oz, the part of Dorothy was played by Hollywood legend Judy Garland. How old was Judy during the making of the movie?",movies,16,22,18,15,16
59,"What was the last name of Dorothy, the main character in the 1939 movie, The Wizard of Oz?",movies,Gale,It was never mentioned,Grey,Gulch,Gale
60,"In the movie The Wizard of Oz, Dorothy lives with her aunt Em and her uncle whose name is what?",movies,Uncle Henry,Uncle Harry,Uncle Henry,Uncle Charlie,Uncle Tom
61,"This stern lady from the movie The Wizard of Oz is Dorothys neighbour, who threatens to have her dog Toto put to sleep.",movies,Miss Almira Gulch,Miss Almira Gulch,Miss Fanny Green,Miss Daisy Green,Miss Alvina Gray
