,question,category,answer,choices__001,choices__002,choices__003,choices__004
0,One of Johnny Depps earliest film roles was as Gator Lerner in what 1986 movie?,celebrities,Platoon,The Color of Money,Platoon,Top Gun,Aliens
1,"Which of these Tim Burton films, starring Johnny Depp, came first?",celebrities,Edward Scissorhands,Charlie and the Chocolate Factory,Ed Wood,Sleepy Hollow,Edward Scissorhands
2,"This Scottish author, portrayed by Johnny Depp in the movie Finding Neverland, created the fictional character Peter Pan.",celebrities,James Barrie,John Dunne,George Eliot,Joseph Grimm,James Barrie
4,What is the first name of Johnny Depps character in the 2004 film Secret Window?,celebrities,Mort,Tom,Alan,Lou,Mort
5,Johnny Depp played the role of Inspector Fred Abberline in what 2001 film?,celebrities,From Hell,From Hell,Nick of Time,Chocolat,The Astronauts Wife
6,"Johnny Depp publicly stated that he, in part, had based his portrayal of Captain Jack Sparrow in Pirates of the Caribbean: The Curse of the Black Pearl on which musician?",celebrities,Keith Richards,Jim Morrison,Ozzy Osbourne,Mick Jagger,Keith Richards
8,When was Elvis born?,celebrities,"January 8, 1935","January 8, 1935","January 8, 1977","August 16, 1935","August 8, 1977"
9,Who were Elviss parents?,celebrities,Gladys and Vernon,Billy and Joseph,Gladys and Vernon,Lisa Marie and Vernon,Priscilla and Dee
10,What is Elviss mansion called?,celebrities,Graceland,Neverland,Swampland,Kingstown,Graceland
11,What town was Elvis born in?,celebrities,Tupelo,Branson,Memphis,Tupelo,Nashville
12,He played Nicholas Bradford on the ultra popular 70s sitcom Eight is Enough.,celebrities,Adam Rich,Adam Rich,Jason Bateman,Meeno Peluce,Danny Pintauro
13,Rapper turned actor Will Smith married this actress in 1997.,celebrities,Jada Pinkett,Brandy Norwood,Nia Long,Jada Pinkett,Shia LeBeouf
14,Former tennis great Steffi Graf married this former tennis great in 2001.,celebrities,Andre Agassi,John McEnroe,Boris Becker,Andre Agassi,Jimmy Connors
15,"In 1997, Actor Matthew Broderick married this Sex and the City star.",celebrities,Sarah Jessica Parker,Kristen Davis,Sarah Jessica Parker,Cynthia Nixon,Kim Catrall
16,What famous actor did Catherine Zeta Jones marry in 2000?,celebrities,Michael Douglas,Kirk Douglas,Michael Douglas,Jeff Bridges,Lloyd Bridges
17,Actor James Brolin married this famous singer in 1998.,celebrities,Barbra Streisand,Aretha Franklin,Barbra Streisand,Bette Midler,Maria Muldaur
18,Singer Jennifer Lopez married this famous singer in 2004.,celebrities,Mark Anthony,Dave Grohl,Enrique Iglesias,Gavin Rossdale,Mark Anthony
19,Actor Ben Stiller married this actress in 2000.,celebrities,Christine Taylor,Pam Anderson,Nikki Taylor,Christine Taylor,Heather Graham
20,"In 2002, pop diva Gwen Stefani married the former lead singer of the band Bush. What is the name of Stefanis significant other?",celebrities,Gavin Rossdale,Ross Gavindale,Nigel Pulsford,Gavin Rossdale,Chris Traynor
21,What actor did Demi Moore marry in 2005?,celebrities,Ashton Kutcher,Ashton Kutcher,Bruce Willis,Brendan Fraser,Patrick Dempsey
22,"In 2005, actress Jennifer Garner married this Hollywood movie star.",celebrities,Ben Affleck,Matt Houston,Matt Damon,Ben Affleck,John Stamos
23,"This actor made his film debut in Rubberface and followed it with appearances in Copper Mountain, Once Bitten and Peggy Sue Got Married before he hit the big time.",celebrities,Jim Carrey,Dean Cain,Jim Carrey,Matt Dillon,Alan Cumming
24,This American actor played the roles of Mr. Big in the 007 film Live and Let Die and Parker in the hit Sci-Fi movie Alien.  He later starred in the TV show Homicide: Life on the Street.,celebrities,Yaphet Kotto,Yaphet Kotto,Nicholas Downs,Dana Carvey,George Chakiris
25,This British actor is the eldest of a pair of twins and who played George Weasley in the Harry Potter series of films.,celebrities,Oliver Phelps,Yaphet Kotto,Sean Astin,Samuel Sarpong,Oliver Phelps
26,This American actor was one of the child stars of The Goonies and also played a brave and helpful hobbit in Lord Of The Rings.,celebrities,Sean Astin,Orlando Bloom,Garrett Hedlund,Sean Astin,Norman Reedus
27,"This American actor has received two Academy Award nominations for Best Actor in a Leading Role, winning it once for his portrayal of a suicidal alcoholic in Leaving Las Vegas.",celebrities,Nicholas Cage,Steve Buscemi,Nicholas Cage,Macaulay Culkin,Danny Glover
28,"This British actor came to fame playing a drug addict in Trainspotting and has appeared in a variety of independent and blockbuster movies, including the recent Star Wars films.",celebrities,Ewan McGregor,Ian McKellen,Ryan Reynolds,Norman Wisdom,Ewan McGregor
29,"This American is an actor, producer, director and general philanthropist.  He is responsible for setting up the Sundance Independent Film Festival.",celebrities,Robert Redford,Stephen Dorff,Matthew Broderick,Nick Nolte,Robert Redford
