,question,category,answer,choices/0,choices/1,choices/2,choices/3
0,In what fictional city is the TV show Futurama set?,video-games,New New York,New Chicago,New New York,New San Francisco,None of these
1,What is the lowest ranking species in the Covenant hierarchy in the Halo series?,video-games,Grunt,Drone,Brute,Elite,Grunt
2,Who controls the Flood in the Halo series?,video-games,Gravemind,Gravemind,The Prophet of Truth,The Arbiter,No one
3,What is a SPARTAN in the Halo series?,video-games,All of these,A Genetically modified super soldier,A higher ranking soldier than a ODST,Troopers that went through military training at the age of five,All of these
4,What species is the Didact in the Halo series?,video-games,Forerunner,Forerunner,Precursor,Promethean,Yamne
6,Which of the following does the UNSC use to transport troops in the halo series?,video-games,Pelicans,Falcons,Hornets,Phantoms,Pelicans
7,What does UNSC stand for in the Halo series?,video-games,United Nations Space Command,None of the above,United Nations Space Council,United Nations Space Command,Unified Nations Supreme Court
8,What is the largest UNSC ship in the Halo series?,video-games,UNSC Infinity,UNSC In Amber Clad,UNSC Infinity,UNSC Spirit of Fire,UNSC Pillar of Autumn
9,What city does Halo 3 ODST take place in?,video-games,New Mombasa,Voi,New Mombasa,Toronto,New York
10,What is the largest species of the Covenant in the Halo series?,video-games,Hunter,Brute,Hunter,Jackal,Elite
11,Who made the fictional Mother Brain and for what purpose?,video-games,The Chozo built her to be a organic Supercomputer.,The Galactic Federation built her as a next generation Aurora Unit.,It is unknown who made her but she was made to control Zebes.,The Space Pirates built her to be one of their generals.,The Chozo built her to be a organic Supercomputer.
12,How did the Alimbics become extinct in the Metroid series?,video-games,The entire species used up their life energy to imprison Gorea.,They discovered Phazon and developed Phazon Madness causing them to wipe each other out.,Gorea wiped them out.,The entire species used up their life energy to imprison Gorea.,The Metroids wiped them out.
13,What creature passes on the X Parasite to Samus in the Metroid series?,video-games,Hornoad,Metroid,Space Pirate,Kihunter,Hornoad
14,Who is the Deleter in the Metroid series?,video-games,James Pierce,Lyle Smithsonian,Adam Malkovich,K.G Misawa,James Pierce
16,What do Steamlords keep as pets in the Metroid series of games?,video-games,Vaporwing,Steambot,Warp Hound,Steamspider,Vaporwing
17,An ancient Chozo prophecy predicts the coming of Phazon and the Metroid Prime. In this prophecy the Metroid Prime is referred to as which of the following?,video-games,Worm,Worm,Beast,Destroyer,Consumer
19,What planet are Kihunters from in the Metroid games?,video-games,Unknown,Space Pirate Homeworld,Unknown,SR388,Zebes
20,What planet is Samus from  in the Metorid games?,video-games,K-2L,It is unknown,K-2L,Norion,Zebes
21,What is the name of the enemy faction in the first N.O.V.A?,video-games,Xenos,Xenos,Volterites,Judgers,The Dominion
23,On which planet does the first two missions in N.O.V.A 2 take place?,video-games,Aquarius,Sagittarius,Earth,New Ceres,Aquarius
24,Who helps Kal Wardin find the Judger artifact aboard Therrius in N.O.V.A?,video-games,MazRah,Prometheus,Yelena,MazRah,Rufus
26,Who is the leader of the Volterites in N.O.V.A?,video-games,The Overseer,MazRah,None of the above,Prometheus,The Overseer
27,Which Xeno is capable of teleporting in N.O.V.A?,video-games,Heavy Demon,Heavy Demon,Red Demon,Imp,Fiend
30,What is the name of the damsel you have to save in the classic arcade game Donkey Kong?,video-games,Pauline,Peach,Daisy,Pauline,Dixie Kong
31,"Which of these was a name that game character, Mario, was once called?",video-games,Jumpman,Koopa,Plumberio,Jumpman,Luigi
32,"Who or what turned Warios treasure into monsters in the game, Wario World?",video-games,The black jewel,Kemmy Koopa,Lemmy Koopa,The black jewel,Bowser
33,"In the Mario games, what animal is a paratroopa?",video-games,A turtle,A bird,A lizard,A turtle,A tiger
34,"When first created, Mario game character, Birdo, was what?",video-games,A boy,A dog,A boy,A girl,A bird
36,"In the Mario video games, Bowser is the king of what?",video-games,Koopas,Bowsers,The Jungle,Mushroom Kingdom,Koopas
37,Who is the last boss in video game Paper Mario 2?,video-games,Shadow Queen,Gloom Tail,Bowser,Shadow Queen,Cackletta
38,"Which movie is this Warcraft 3 quote from?
Bandit: -What we have here is a failure to communicate.",video-games,Cool Hand Luke,For a Fistful of Dollars,Dirty Sanchez,Cool Hand Luke,Metal Man
39,Where does the popular video game character Mario live?,video-games,The Mushroom Kingdom,The Koopa Kingdom,The Kingdom of Sarasaland,The Mushroom Kingdom,Yoshi Island
40,What is Marios nationality according to Nintendo video games?,video-games,Italian,Italian,American,Mexican,British
42,What was the first video game in which Mario appeared?,video-games,Donkey Kong,Mario,The Mario Bros.,Super Mario,Donkey Kong
43,Why does Mario wear a red cap in the Mario series of games?,video-games,The creators didnt have the technology to animate his hair.,The creators didnt have the technology to animate his hair.,He is bald.,He cant make his hair neat.,He likes his cap.
45,What does the Fire Flower do to Mario in the Mario video games?,video-games,Allows him to throw fire balls.,Allows him to breath fire.,Nothing,It makes him angry.,Allows him to throw fire balls.
