,question,category,answer,choices/0,choices/1,choices/2,choices/3
0,What does the word cretin refer to?,literature,An idiot,Cyst on the brain stem,None of these,An idiot,Swelling of the cerebrum caused by spinal fluid
1,Leaves of Grass,literature,Walt Whitman,Carl Sandberg,T.S. Eliot,Robert Frost,Walt Whitman
2,At The Mountains of Madness,literature,H.P. Lovecraft,H.P. Lovecraft,Peter Straub,Edgar Allan Poe,C.S. Lewis
3,Ape and Essance; Eyeless in Gaza; Point Counter Point,literature,Aldous Huxley,J.D. Salinger,Aldous Huxley,Maya Angelou,William Butler Yeatts
4,1984; Animal Farm,literature,George Orwell,Herman Hesse,Rudyard Kipling,George Orwell,Aldous Huxley
5,Return of the Native; Jude the Obscure; Far From the Madding Crowd,literature,Thomas Hardy,Thomas Hardy,William Faulkner,Rudyard Kipling,James Dickey
6,The Antichrist; The Gay Science; Beyond Good and Evil; Thus Spoke Zarathustra,literature,Frederick Nietzche,none of these,Frederick Nietzche,Amari Baraka,Stephen King
7,What language can Harry Potter speak?,literature,Parseltounge,Goblin,English,Mermish,Parseltounge
9,Hermione was supposed to turn into this person after drinking the Polyjuice Potion.,literature,Millicent Bulstrode,Millicent Bulstrode,Crabbe,Millie Vanilli,Pansy Parkins
10,What was Hagrid buying in Knockturn Alley?,literature,Flesh-Eating Slug Repellent,Flesh-Eating Slug Attractor,Fresh-Skin Slug Repellent,Flesh-Eating Ant Repellent,Flesh-Eating Slug Repellent
11,"This book by James Joyce was forbidden by the US authorities for 15 years, because it was considered obsene. The ban was lifted in 1933.",literature,Ulysses,Ulysses,Portrait of the Artist,Dubliners,Fanny Hill
12,This book about the life of a prostitute was written by John Cleland. It has been banned in the past due to frank sexual descriptions.,literature,Fanny Hill,Candide,Lysistrata,Fanny Hill,Decameron
13,This book tells the story of two women who meet and fall in love with each other. They openly declare their homosexuality to family and friends. Thats why the Kansas school system ordered the removal of all copies of this book from high school libraries.,literature,Annie on My Mind,Daddys Roommate,Andersonville,Annie on My Mind,Catch 22
14,This book led Austin Miles to the courts in 1992.  Miles was sued because his book was ...a vitriolic attack upon organized Christianity.,literature,Dont Call Me Brother,Leaves of Grass,Dictionary of American Slang,Jerusalem Delivered,Dont Call Me Brother
15,This book by Judy Blume was censored as it discussed adolescent sexuality in too much detail.,literature,Forever,Grapes of Wrath,Lolita,Freedom and Order,Forever
16,This book by George Orwell was banned as it was pro-communist.,literature,1984,The Sun Also Rises,Coming Up for Air,1984,Deliverance
17,This Lewis Carrolls work was banned in China because in it humans and animals used the same language.,literature,Alices Adventures in Wonderland,Sylvie and Bruno,Alices Adventures in Wonderland,Through The Looking Glass,The Hunting of the Snark
18,Its translation into local languages was forbidden in Burma.,literature,The Bible,The Quran,The Cabala,Arabian Nights,The Bible
19,"This book was censored in 1985 in Cairo, Egypt as it contained obscene passages which posed a threat to the countrys moral fabric.",literature,Arabian Nights,Arabian Nights,Don Quixote,Analects,Brave New World
20,An edition of Miltons works was bound in:,literature,Human skin,Human skin,Golden plates,Bears fur,Used newspapers
21,Binding books with human hide was a common practice once. Why?,literature,Because the narrative in the book was about the story of the hides owner,Because of lack of any other proper material,Because this sold the books more quickly than anything,Because the narrative in the book was about the story of the hides owner,Because it was fashionable at the time
22,The name of Cruella de Vil from 101 Dalmatians is meaningful because:,literature,She wants the puppies for their fur,She actually likes cats and not dogs,She is the owner of the dalmatians,She doesnt give them any food,She wants the puppies for their fur
23,Who is the Shakespearean villain who had his own brother executed and innocent children killed because they were hindrances to his kingly ambition?,literature,Richard III,Edmund,Richard III,Aaron the Moor,Othello
24,"According to psychologists villains in fairy-tales actually have an important role for the childrens mind formation, namely:",literature,They help children decide what is bad,They help children decide what is bad,They make the story really funny,They are interesting models of behaviour,They always lose the battle
25,The famous evil female Baba Yaga comes from:,literature,Russian folklore,A Norse legend,An Uzbekistanian fairy-tale,A Moroccan song,Russian folklore
26,"Harry Potter is concidered malicious literature by some, because:",literature,It is about witchcraft,Most of its characters are strange beings,Its characters are mainly clad in black clothes,It comprises too many volulmes,It is about witchcraft
27,It turns out that people like reading about crime. The top-selling English-language author of all time is:,literature,Agatha Christie,Agatha Christie,Ben Johnson,Edgar-Allan Poe,Virginia Woolf
28,"Who wrote about the early whodunit archetype, inspector Auguste Dupin?",literature,Edgar Allan Poe,Georges Sands,Edgar Allan Poe,Washington Irving,Nathaniel Hawthorne
29,Dr. Alex Delaware is the creation of which of these authors?,literature,Jonathan Kellerman,Jonathan Kellerman,Kathy Reichs,Faye Kellerman,Ross McDonald
32,"What is the name of Colin Creevys brother, who appears in the book Harry Potter and the Order of the Phoenix?",literature,Dennis Creevy,Carson Creevy,Darian Creevy,Dennis Creevy,James Creevy
33,Why was Hagrid missing in the beginning of Harry Potter and the Order of the Phoenix?,literature,He went hunting giants.,He went hunting unicorns.,He went looking for Dumbleodre.,He went looking for Sirius Black.,He went hunting giants.
34,What did Hermione do to Ron before she stormed out of the charms classroom in Harry Potter and the Half-Blood Prince?,literature,She charmed little yellow birds to fly at Ron and peck him.,She charmed a desk to fly over to Ron.,She charmed pencils to fly and poke Ron.,She charmed little yellow birds to fly at Ron and peck him.,She charmed a chair to fly across the room at Ron.
38,"In Harry Potter and the Philosophers Stone, before Harry went to fight Professor Quirrel and He-Who-Must-Not-Be-Named, Hermione helped him with a task that involved what?",literature,A set of potions sent from Professor Snape,A chess set by Professor Flitwick,An ancient textbook sent from Professor Binns,A set of potions sent from Professor Snape,A dragon sent from Hagrid
39,"What was the name of the handsome, selfish teacher in Harry Potter and the Chamber of Secrets?",literature,Professor Gilderoy Lockhart,Professor Gilderoy Lockhart,Professor Godric Gryffindor,Professor Severus Snape,Professor Cedric Diggory
40,"In Harry Potter and the Philosophers Stone, what was the password to the Gryffindor tower during Halloween?",literature,Pig snout,Pig snout,Fairy lights,None of these,Zebras tail
