,question,category,answer,choices/0,choices/1,choices/2,choices/3
0,This drink contains caffeine.,general,Coffee,Mineral water,Orange juice,Coffee,Beer
1,"Finish the proverb:

Poets are born, ________.",general,...not made.,...not made.,...but can also be made.,...but thats not for sure.,"..., long live the poets!"
2,If a TV program is rated G then this is true.,general,It is suitable for all audiences.,It contains moderate violence.,It contains mild sexual situations.,It is suitable for all audiences.,It is suitable for young children.
3,The theory of relativity was introduced in physics by this man.,general,Albert Einstein,Galileo Galilei,Albert Einstein,Archimedes,Isaac Newton
4,The symbol for the chemical element iron is this.,general,Fe,I,Fe,Zn,Br
5,The author of the novel A Portrait of the Artist as a Young Man is this writer.,general,James Joyce,T. S. Eliot,Samuel Beckett,William Faulkner,James Joyce
6,The capital of Mongolia is this city.,general,Ulaanbaatar,Davao,Islamabad,Quezon,Ulaanbaatar
7,Mitochondrias function in cells is to perform this.,general,To convert organic materials into energy,To control chemical reactions within the cytoplasm,To store information needed for cellular division,To convert organic materials into energy,To process proteins targeted to the plasma membrane
8,The US bought Alaska in this year.,general,1867,1942,1882,1854,1867
9,The 23rd US President was in office during this period.,general,1889 - 1893,1909 - 1913,1889 - 1893,1837 - 1841,1877 - 1881
10,One of these actors did not star in the 1971 movie A Clockwork Orange.,general,Warren Brown,Michael Bates,Patrick Magee,Warren Brown,Malcolm McDowell
11,The first Bulgarian state was formed in this year.,general,681 AD,429 AD,681 AD,712 AD,651 AD
12,The 1962 Soccer World Cup tournament was held in this country.,general,Chile,Switzerland,Mexico,Chile,Italy
13,The Meryas were a probably Finno-Ugric tribe who lived in the region of modern Russia. This is the first historian to mention them.,general,Jordanes,Eusebius of Caesarea,Jordanes,Priscus,Sima Guang
14,"The word abacus derives from a Hebrew word, meaning this.",general,Dust,Movement,Sky,Dust,Wood
25,"Sean Connery, George Lazenby, Roger Moore, Timothy Dalton and Pierce Brosnan have all played the role of a fictional British spy. Who was that character?",general,James Bond,James Bond,Johnny English,Jim Malone,Eliot Ness
26,"Man On The Moon, Amadeus and One Flew Over the Cuckoos Nest are all movies directed by him.",general,MiloÅ¡ Forman,Stanley Kubrick,MiloÅ¡ Forman,Pedro AlmodÃ³var,Martin Scorsese
27,"Across the Hall, Friends Like Us, Insomnia Café and Six of One are all working titles of one of famous US TV-series.  Name the series.",general,Friends,Friends,Sex and the City,ALF,One Tree Hill
28,"The common link between these four movies -Chicken Run, Harry Potter, The Mummy Returns and Cast Away, is that...?",general,They all are produced by one and the same company.,They all treat one and the same social problem.,They all are produced by one and the same company.,One and the same actor is starring in all of them.,They all refer to one and the same social class.
29,Three of the following movies are produced by 20th Century Fox. Which is the odd one?,general,House of Wax,"Me, Myself  Irene",Dr. Dolittle 2,Cast Away,House of Wax
31,"Tom Cruise had a lead role in all, but one of these movies.  Which one?",general,Endless Love,Rain Man,The Firm,Magnolia,Endless Love
32,"All but one of these statements represents a common bond between the movies, The Terminal and Catch Me if You Can.",general,Leonardo DiCaprio stars in them both.,They both can be classified as dramas.,They both are produced by Spielberg.,Tom Hanks stars in them both.,Leonardo DiCaprio stars in them both.
33,"Brad Pitt starred in all these movies, except one. Can you spot it?",general,The Beach,Meet Joe Black,Mr.  Mrs. Smith,Oceans Eleven,The Beach
34,"Robin Williams starred in Mrs. Doubtfire. Another great actor, Dustin Hoffman starred in Tootsie. Both characters pretended to be this.",general,Women,Women,Dead,Insane,Bed-ridden and sick
36,There is something specific about Anne Boleyns ghost. What is it?,general,Her ghost is without a head.,She does not have a ghost.,Her ghost is male.,Her ghost is without hands.,Her ghost is without a head.
37,Which of the following statements about ghosts is incorrect?,general,They are always depicted of a human size and shape.,They are always depicted of a human size and shape.,Ghosts do not have a gross physical body.,Sometimes they might manifest their presence by moving other objects or producing noises.,"They are usually portrayed as silvery, shadowy and fog-like."
38,The ghost of the Roman Emperor Caligula was said to haunt this place.,general,The Lamian Gardens of Rome,Basilica di San Giovanni in Laterano,Amphitheatrum Castrense,The Lamian Gardens of Rome,Great Synagogue of Rome
39,Ghosts have taken a significant place in literature and art since this period.,general,Renaissance,Renaissance,Middle Ages,Romanticism,Baroque
40,"What does Suetonius, Geoffrey of Monmouth and Herodotus have in common?",general,They are three writers that produced the first urban legends.,They are three writers that produce modern urban legends.,They are three writers that produced the first urban legends.,They are three ghost from the modern urban legends.,They are three ghosts from the first urban legends.
43,In 1993 an interesting study about Friday the 13th was published in the British Medical Journal. Its authors investigated if this mystical date is really dangerous. They compared the ratio of traffic volume to the number of vehicular accidents on two different days throughout several years. What was the conclusion of the study?,general,Friday the 13th actually affects the number of vehicular accidents,The number of vehicular accidents is lower on Friday the 13th,The results were inconclusive,Friday the 13th doesnt have any affect on the number of vehicular accidents,Friday the 13th actually affects the number of vehicular accidents
44,The fear of the fatal date is called this.,general,Paraskevidekatriaphobia,Paraskevidekatriaphobia,Aphenphosmphobia,Chronomentrophobia,Coitophobia
46,"There are countless theories about the origins of fear of number 13. One says that the phobia comes from Norse mythology. According to a legend, the 13th god, the god of mischief, turned up at a gathering of the 12 Viking gods and caused the death of Balder the Good.  What was the god of mischief called?",general,Loki,Loki,Tor,Odin,Hod
47,"People fear Friday for many reasons. For example, Jesus Christ was crucified on Friday, the Great Flood began on Friday and Adam and Eve were banned from the Garden of Eden on Friday. Do you know what type of day Friday was in the pagan Roman empire?",general,Execution day,Parade day,Tax day,Execution day,Day for prayers
49,"The bad name of both Friday and number 13 can be explained by many historical and religious facts. However, the reason why they are linked together to form this powerful superstition, cant be explained so easily. According to one theory, the ill-fame of Friday 13th dates back to 13 October 1307, when King Philip IV of France arrested most of the knights of one famous Order. What was the name of the Order?",general,The Knights Templar,The Ancient and Illustrious Order Knights of Malta,Ancient Order Knights of the Mystic Chain,The Knights Templar,Teutonic Order
51,"Having in mind the mysterious background of Black Friday, it is quite natural that the TV series Friday the 13th were so popular. The main character, Jason, is one of the biggest celebrities in the world of horror movies. What is Jasons family name?",general,Vorhees,Hardy,Vorhees,Christy,Burrell
52,Over any given 400-year cycle the 13th day of the month occurs 4800 times. The 13th most often falls on this day of the week.,general,Friday,Sunday,Monday,Wednesday,Friday
53,What movie stars George Peppard as a WWI ace pilot?,general,The Blue Max,The Blue Max,The Blue Baron,The Red Baron,The Black Knight
54,"This movie, directed by Stanley Kubrick, stars Malcolm McDowell as Alex DeLarge.",general,A Clockwork Orange,A Backward Peach,A Future of  Red,A Clockwork Orange,Soylent Green
