,question,category,answer,choices/0,choices/1,choices/2,choices/3
1,One of the remnants of this states former status as a possession of France is the fact that it was named after a French king.,world,Louisiana,Oklahoma,Florida,Louisiana,Georgia
2,"No state has as many different species of mammals as this one. The average square mile of land contains 1.4 elk, 1.4 pronghorn antelope, and 3.3 deer.",world,Montana,Nebraska,Nevada,Colorado,Montana
4,The largest lake in this state is Lake Okeechobee. The state is also home to one of the two naturally round lakes in the world.,world,Florida,Hawaii,Tennessee,Florida,Alabama
6,The 3rd Monday in April is Patriots Day - a legal holiday in this state.,world,Massachusetts,California,Washington,Oregon,Massachusetts
7,Francis Drake was 66 years old at his inauguration and the oldest governor of this state.,world,Iowa,Nevada,Ohio,Minnesota,Iowa
8,What is the state capital of Washington?,world,Olympia,Olympia,Seattle,Walla Walla,Spokane
9,What is the state capital of Oregon?,world,Salem,Bend,Portland,Eugene,Salem
10,What is the state capital of California?,world,Sacramento,Sacramento,Los Angeles,San Diego,San Francisco
11,What is the state capital of Idaho?,world,Boise,Boise,Idaho Falls,Pocatello,Coeur DAlene
12,What is the state capital of Nevada?,world,Carson City,Reno,Las vegas,Carson City,Austin
13,What is the state capital of Utah?,world,Salt Lake city,Cedar City,Provo,Price,Salt Lake city
14,What is the state capital of Arizona?,world,Phoenix,Phoenix,Kingman,Tucson,Flagstaff
15,What is the state capital of Alaska?,world,Juneau,Kodiak,Juneau,Anchorage,Fairbanks
16,"During World War II, this country was able to successfully defend its freedom and resist invasions by the Soviet Union - despite some loss of territory. It joined the European Union in 1995.",world,Finland,Poland,Czech Republic,Finland,Lituania
17,This country shares common boundaries with every South American country except Chile and Ecuador.,world,Brazil,Colombia,Argentina,Bolivia,Brazil
18,"After gaining its independence in 1991, it has retained closer political and economic ties to Russia than any of the other former Soviet republics.",world,Belarus,Ukraine,Latvia,Bulgaria,Belarus
19,"It was once the center of power for an empire.  Occupied by the allies in 1945, a state treaty ended its occupation in 1955 and recognized its independence.",world,Austria,Belgium,Denmark,Austria,Hungary
20,This country is home to the northernmost capital in mainland Europe?,world,Finland,Sweden,Denmark,Finland,United Kingdom
21,It is the sixth largest country and home of The Doctor breeze.,world,Australia,Ukraine,Canada,Australia,United Kingdom
22,Its three-year-old Socialist government was overthrown in 1973 by a dictatorial military regime led by Augusto Pinochet.,world,Chile,Peru,Paraguay,Chile,Uruguay
23,"This country dominates the Aegian Sea and possesses an archipelago of about 2,000 islands.",world,Greece,Italy,Cyprus,Greece,Turkey
24,"This country controls the Sinai Peninsula.  Following the completion of the Suez Canal in 1869, it became an important world transportation hub.",world,Egypt,Thailand,Egypt,Hong Kong,Libya
25,"This countrys national holidays include:
- Independence Day, 10 December (date of independence from Spain, 1898)
- 20 May (independence from US administration, 1902)
- Rebellion Day 26 July (1953)",world,Cuba,Palestine,Mexico,Cuba,Chile
26,The first American capital.  It has a nick name coined by musicians - it means  to play the big time.,world,New York,Washington D.C.,New York,Boston,San Francisco
27,The cable cars of this city are the only mobile National Monument.,world,San Francisco,Oklahoma,San Francisco,Nevada,Los Angeles
28,"When broken down into kanji, the name of this capital city means east and capital.",world,Tokyo,Nagoya,Osaka,Kyoto,Tokyo
29,The Seine river divides this city into the Rive Droite (French for Right Bank) north of the river and the Rive Gauche (French for Left Bank) south of the river.,world,Paris,Lille,Lyon,Marseille,Paris
30,"This city situated south of China is made up of 230 islands, Lantau Island being the largest.",world,Hong Kong,Taipei,Peking,Shanghai,Hong Kong
31,This city is the only one located on two continents.,world,Istanbul,Kadis,Istanbul,Tanjer,Athens
32,In the devilish year of  1666 a great fire occured in this European capital city. Half of it burned down.,world,London,Rome,Paris,Vienna,London
33,One of this citys most prominent landmarks is the Brandenburger Tor (Brandenburg Gate).  It once marked the boundary between East and West Germany.,world,Berlin,Berlin,Munchen,Frankfurt,Bonn
34,This city is famous for its water-channel traffic. It has been designated a World Heritage Site.,world,Venice,Barri,Naples,Venice,Rome
35,This Peruvian city is stuck between the desert and the sea. It is also known as The City of the Kings.,world,Lima,Trujillo,Cuzco,Chimbote,Lima
36,Which of these U.S. states is not a Four Corners state?,world,Wyoming,New Mexico,Utah,Colorado,Wyoming
39,"Sullivan street (in Sullivan County) serves as the state line, running east and west, effectively bi-locating this town in two states.  Name the city and the two states.",world,"Bristol, Tennessee, Virginia","Memphis, Tennessee, Arkansas","Bristol, Tennessee, Virginia","Latham,  Maryland,  Pennsylvania","Nogales, Arizona, New Mexico"
40,"The town of San Ysidro is located in what state, near what border?",world,"California, near the border with Mexico.","California, near the border with Mexico.","Washington, near the border with Oregon","California,  near the border with Arizona","Iowa, near the border with Missouri"
42,"Although Angel Falls bear the notion of something angelic, the phenomenon is named after Jimmy Angel, a barnstorming pilot from Missouri, who has become a modern legend.",world,Venezuela,Argentina,Venezuela,Panama,Equador
43,Mount Fuji is a nearly perfectly shaped volcano.  It has been worshipped as a sacred mountain.,world,Japan,Thailand,China,Japan,Malaysia
44,Mount Everest was formed some 50 million years ago. It rises a few meters each year because of geological forces. On the border between which two countries is this mount situated?,world,China and Nepal,Sumatra and China,Thailand and Nepal,China and Nepal,Nepal and India
45,"From forest to desert, the Grand Canyon has the most extreme nature climate.",world,USA,Mexico,Canada,USA,Brazil
46,"Through thousands of years in existence, Niagara Falls has been eroding at a rate of 4 feet (1.5 meters) per year.",world,Canada,Mexico,Equador,Canada,Argentina
47,The name of mount Kilimanjaro comes from Swahili and means the mountain that glitters.,world,Tanzania,Tanzania,Zimbabwe,Uruguai,Zambia
48,The Great Barrier Reef consists of many colonies of corals. That is why it is sometimes referred to as the largest living animal in the world.,world,Australia,Armenia,Australia,Austria,Anrgentina
49,"Krakatoa volcano caused the most violent volcanic eruption recorded in worlds history.  In 1883, it destroyed 75 % of the territory of its island.",world,Indonesia,Thailand,Malaysia,Indonesia,Surinam
50,"Local Batonga people had named Victoria Falls Mosi-Oa-Tunya, which stands for the smoke that thunders.",world,Zimbabwe,Malawi,Zimbabwe,Mozambique,Namibia
51,The scientific name for the Northern Lights phenomenon is Aurora Borealis. They are often mistaken for UFOs.  Where do they happen?,world,In the northern part of our planet,In the southern part of our planet,On the Equator,In Newfoundlend,In the northern part of our planet
52,"Nicknamed the Grand Canyon State, it entered the Union on Feb 14, 1912.",world,Arizona,Utah,Nevada,New Mexico,Arizona
53,"This US state, nicknamed The Sunshine State, is famous with its beaches and theme parks.",world,Florida,Texas,California,Georgia,Florida
54,"Nicknamed the Treasure State, this western US state is fourth largest in area.",world,Montana,Nevada,Oregon,Montana,California
55,"Nicknamed the Ocean State, it is the smallest US state.",world,Rhode Island,Hawaii,Delaware,New Hampshire,Rhode Island
56,"The Beehive State requested admission to the Union in 1849 under the name Deseret.  After polygamous marriage practices were discontinued, it was finally admitted in 1896, under what name?",world,Utah,Arizona,Colorado,South Dakota,Utah
57,"Nicknamed the Green Mountain State, this eastern US state was admitted to the Union on March 4, 1791.",world,Vermont,Vermont,Pennsylvania,Connecticut,Delaware
58,"Nicknamed The Buckeye State, it is the birthplace many former US presidents, including Ulysses S. Grant.",world,Ohio,Nebraska,Iowa,Ohio,Indiana
59,"This US state, known as the Equality State, is home of Devils Tower, featured in the movie Close Encounters of the Third Kind.",world,Wyoming,North Dakota,Wyoming,Idaho,Washington
60,"Home on the Range is the state song of this US mid-western state, known as The Sunflower State.",world,Kansas,Kansas,Nebraska,Indiana,Illinois
61,"This Bluegrass State hosts a famous horserace in Louisville, and is the birthplace of President Abraham Lincoln.",world,Kentucky,Kentucky,Kansas,Nebraska,Illinois
62,"This volcano, featured in a short 1933 Academy Award-winning movie, is located near the Indonesian island of Rakata, in the Sunda Strait.",world,Krakatoa,Ruapehu,Krakatoa,Kilauea,Pinatubo
63,"Located in Tanzania, it is Africas highest mountain.",world,Mount Kilimanjaro,Mount Kenya,Maromokotro,Mount Kilimanjaro,Ras Dascian
64,"One of the most intriguing attractions of Venice is Ponte dei Sospiri, which means this in English.",world,The Bridge of Sighs,The River of Tears,The Bridge of Sighs,The Street of Sorrow,The House of Death
65,"If you think you can see the Statue of Liberty only in New York City, think again! I went to this huge European city and saw it right there, standing near the Grenelle Bridge and looking towards the Atlantic Ocean, facing its larger sister in New York Harbor.",world,Paris,Paris,Madrid,London,Barcelona
66,When I visited this lonely continent I was so moved by the spherical-sectioned shells of the opera house in this city.,world,Sydney,Sydney,Melbourne,Brisbane,Adelaide
67,"Madrid is the largest city and capital of this country, whose the most valuable natural resource is the soil - nearly one-third of the land is suitable for cultivation.",world,Spain,Spain,Portugal,Argentina,Brazil
68,"Bern is the capital of this country, where most rivers are not suitable for navigation due to their great falls and swift currents.",world,Switzerland,Denmark,Sweden,Finland,Switzerland
69,"Ulaan Baator is the capital of this sparsely populated country, where domesticated animals outnumber people.",world,Mongolia,Chile,Brazil,Mongolia,Uruguay
70,"This countryâs capital, Sucre, is nicknamed âthe white cityâ because most of the colonial buildings in the city centre are white.",world,Bolivia,Bolivia,Pakistan,Honduras,Kenya
71,This country is about the size of California but has about one -sixth of its population. Its capital city is AsunciÃ³n.,world,Paraguay,Cuba,Paraguay,Peru,Honduras
72,"Vientiane is the capital of this country, which has more than 50 ethnic groups, divided into three broad categories.",world,Laos,North Korea,Vietnam,Laos,Cambodia
73,"Phnom Penh is the capital of this country, whose official language is Khmer.",world,Cambodia,Cambodia,South Vietnam,Laos,North Vietnam
74,"Vienna is the capital of this landlocked country, which became a member of the European Union in 1995.",world,Austria,Australia,Belgium,Austria,Germany
75,"Montevideo is the capital of this second smallest country in South America, after Suriname.",world,Uruguay,Paraguay,Bolivia,Chile,Uruguay
76,"Caracas is the capital of this country, a Spanish colony for more than 300 years, before it declared its independence in the early 19th century.",world,Venezuela,Peru,Columbia,Venezuela,Chile
78,"In 1488, a bold captain named Bartholomew Diaz gave the name Cape of Storms to the most southern African tip.  However, the Portuguese King altered the name to this.",world,Cape of Good Hope,Cape Cod Bay,Cape of Breakers,Cape of Good Hope,Cape of South Africa
79,"With the aid of Queen Isabella of Spain, Christopher Columbus set off in 1492 using three tiny ships.  One of these ships was not part of the expedition.",world,The Victoria,The Santa Maria,The Pinta,The Victoria,The Nina
80,Which of the following pairs (explorer - region he discovered) is not correct?,world,Cabral - Uruguay,Cortez - Mexico,Pizarro - Peru,Cabral - Uruguay,Vespucci - Argentina
83,"How did the political life in England, Spain and France change as a result of the geographical discoveries?",world,They turned into strong monarchies with rich and autocratic monarchs,Peasants rebelled and took over,The political life did not change significantly,They were weakened because their armies were spread thin on other continents,They turned into strong monarchies with rich and autocratic monarchs
84,Which of the following was not a cause of the Great Geographical Discoveries?,world,The Portuguese King thought his admirals would dethrone him and he wanted to send them away.,The Portuguese King thought his admirals would dethrone him and he wanted to send them away.,Many new inventions like the compass helped the sailors a lot.,The Turks controlled the land route to India. That forced the Western countries to seek alternative routes.,Western monarchs along with the Pope wanted to spread their influence through converting the newly discovered nations to Christianity.
85,Trenton is the capital of this eastern state.,world,New Jersey,Maryland,New York,New Jersey,Connecticut
86,Juneau is the capital of this last frontier state.,world,Alaska,Utah,Alaska,California,Nevada
87,"Columbus discovered the Americas in 1492, and is rewarded with this midwestern state naming its capital after him.",world,Ohio,North Carolina,South Carolina,Ohio,Georgia
88,Helena is this Rocky Mountain states capital.,world,Montana,Nevada,California,Wyoming,Montana
89,Richmond is the capital of this state where many US presidents were born.,world,Virginia,Maryland,Virginia,West Virginia,Delaware
90,The capital of this diverse northwestern state is Salem.,world,Oregon,Massachusetts,Oregon,New Hampshire,Washington
91,"This state, which houses one of the largest cities in the world, has Albany as its capital.",world,New York,New York,New Mexico,Georgia,Minnesota
92,Jefferson City serves as the capital of this Midwestern state.,world,Missouri,Texas,California,Missouri,Florida
93,The capital of this southern state is also known as music city.,world,Tennessee,Delaware,Tennessee,Kentucky,Georgia
94,Carson City is the capital of this Battle Born State.,world,Nevada,Arizona,Nevada,California,Utah
95,Tallahassee is situated on the panhandle of this southern state and serves as its capital.,world,Florida,Pennsylvania,Florida,North Dakota,California
96,"If you are in Sacramento, the capital of this western state, you are within a days drive to beautiful beaches, high mountains with famous national parks, and one of the deepest, most picturesque lakes in the world.",world,California,Arizona,California,Utah,Washington
97,Austin is the capital of this US state which once existed as an independent republic.,world,Texas,Texas,Maine,Georgia,South Carolina
98,This northeast state has Augusta as its capital.,world,Maine,New Hampshire,Maine,Pennsylvania,Vermont
99,"This southern state has many beaches, an incredible fort from the revolutionary war, and Columbia as its capital.",world,South Carolina,South Carolina,Ohio,Illinois,North Carolina
100,This midwestern state has Madison as its capital.,world,Wisconsin,Wisconsin,Indiana,Kentucky,Illinois
101,"Salt Lake City, known for the salty, barren desert lake to the west of the city, was founded by mormons and is the capital of this geographically diverse state.",world,Utah,Utah,South Dakota,Nevada,North Dakota
102,This eastern state with rich history has Annapolis as its capital.,world,Maryland,Maryland,New Mexico,New Jersey,Virginia
103,Springfield is the capital of this midwestern state.,world,Illinois,Kentucky,Missouri,Illinois,Ohio
104,Only this one of the seven wonders of the world survived the trials of time and is open to visitors.,world,Great Pyramid of Giza,Colossus of Rhodes,Statue of Zeus at Olympia,Great Pyramid of Giza,Lighthouse of Alexandria
105,"A wonder of the ancient world was built on the territory of all of these modern-day countries, but one.  Which is the odd one?",world,Syria,Iraq,Syria,Egypt,Turkey
106,In what century was the original version of the Seven Wonders of the World list created by Antipater of Sidon?,world,2nd century BC,6th century BC,2nd century BC,7th century AD,3th century AD
107,"The Great Pyramid of Giza, the oldest of the Seven Wonders of the Ancient World, was built approximately how long ago?",world,4500 years ago,1000 years ago,2000 years ago,700 years ago,4500 years ago
