,question,category,answer,choices/0,choices/1,choices/2,choices/3
0,What is the capital of Afghanistan?,geography,Kabul,Tirana,Kabul,Dushanbe,Tashkent
1,What is the capital of Australia?,geography,Canberra,Canberra,Sydney,Melbourne,Ottawa
2,What is the capital of Belgium?,geography,Brussels,Amsterdam,Luxemburg,Brussels,Stockholm
3,What is the capital of Greece?,geography,Athens,Ankara,Athens,Sofia,Thessaloniki
4,What is the capital of Italy?,geography,Rome,Venice,Rome,Naples,Milan
5,What is the capital of Israel?,geography,Jerusalem,Tel Aviv,Kabul,Jerusalem,Islamabad
6,What is the capital of Germany?,geography,Berlin,Frankfurt,Berlin,Munich,Hamburg
7,What is the capital of Norway?,geography,Oslo,Stockholm,Helsinki,Oslo,Copenhagen
8,"What is the capital and largest city of Hawaii, the 50th US state?",geography,Honolulu,Little Rock,Dover,Frankfort,Honolulu
9,"When the streams Biya and Katun join in Altai Krai, they form this mighty river. It is located in West Siberia, Russia and has many names- the Siberian Tatars call it Omar or Umar, the Samoyedes- Kolta or Kuay and to the Ostiaks it is known as the As, Yag, Kolta and Yema. It joins the Irtysh river, forming the longest river flow in Russia. What is its name?",geography,Ob,Ural,Volga,Ob,Lena
10,"Although the Amazon river is generally regarded as the second-longest in the world, it is the river with greatest total flow, carrying more than the Mississippi, Nile, and Yangtze rivers combined.  It ends in the Atlantic Ocean, but it is believed to begin its long journey from this mountain peak.",geography,Nevado Mismi,Nevado Mismi,Misti,Cotopaxi,Mount Chimborazo
11,"This is the longest river in Asia and its Chinese name, Chang Jiang, is literally translated to Long River. The critically endangered Chinese River Dolphin and Chinese paddlefish live only in this river. It takes its source in the Qinghai Province, flows for 6,380km (3964miles) and finally empties into the East China Sea. What is the name of this river?",geography,Yangtze,Irtysh,Huai River,Yangtze,Mekong
12,"Huang He is the second-longest river in China. Its source is in the Kunlun Mountains at 4,500m (14,764 feet) above sea level. Due to the silts that the river carries, the color of its waters becomes so unnatural that it gave the name of the river . What is the color of the waters of Huang He?",geography,Yellow,Brown,Orange,Yellow,Red
13,"It is the second-longest river in the United States. The longest one, Missouri, joins it to form the longest river flow in North America. This river flows through ten states- Minnesota, Wisconsin, Iowa, Illinois, Missouri, Kentucky, Arkansas, Tennessee, Mississippi and Louisiana and mouths into the Gulf of Mexico. I am not going to ask you about its name, but about its source. What is the origin of the Mississippi river?",geography,Lake Itasca,Lake Superior,Lake Pepin,Lake Itasca,Cass Lake
14,"This is the twelfth-longest river in the world. It runs through China, Myanmar, Thailand, Laos, Cambodia and Vietnam. There are various theories about the source and the exact length of the river because there are several effluents of it that are too difficult to explore. Due to the many rapids and waterfalls, as well as the extreme changes in the flow of the river, sailing is extremely difficult. What is the name of this river?",geography,Mekong,Mekong,Saskatchewan,Angara,Brahmaputra
15,"The longest river in Europe is Volga. But do you know which is the second longest one? It flows through several major European cities, such as Ulm, Vienna, Bratislava, Budapest and Belgrade. The river empties in the Black Sea on the terrirories of Romania and Ukraine.",geography,Danube,Don,Dniepr,Danube,Emba
16,"The Ganges river is considered to be a holy in India. There is a Hindu legend that the river was created from the sweat of the feet of Vishnu, collected by Brahma. According to Hindu beliefs, if you bathe in the waters of Ganges, it will wash away your sins. However this is not very hygienic, as the river is badly polluted by cremated corpses, carcasses, waste from factories and more.  Where does this river empty?",geography,The Bay of Bengal,The Bay of Bengal,Lop Nur,The Quarry Bay,Kara Sea
17,"Victoria Falls is one of the most spectacular waterfalls in the world. The falls are named after Queen Victoria by David Livingstone, the explorer who visited them in 1855. The falls are 128 m (420 ft) high and are situated on this river.",geography,Zambezi,Zambezi,Congo,Gambia,Orange
18,"The Nile is generally considered the longest river in the world.  The source of this mighty river remained unknown for centuries. Finally Lake Victoria was decided to be its source, although there are other theories. Lake Victoria is located on the territories of these three countries.",geography,"Uganda, Kenya and Tanzania","Sudan, Ethiopia and Kenya","Zambia, Angola and Sudan","Uganda, Kenya and Tanzania","Egypt, Morocco and Zimbabwe"
19,"Name the line, which is the same distance from the North Pole and South Pole and runs horizontally around the world.",geography,Equator,Tropic of Capricorn,Equator,Tropic of Cancer,Prime Meridian
20,"What term refers to the horizontal line, 23.5 degrees S, which passes through South America, Africa, and Australia?",geography,Tropic of Capricorn,Tropic of Cancer,Prime Meridian,Tropic of Capricorn,Equator
21,Which continents are entirely in the Southern Hemisphere?,geography,Australia and Antarctica,"South America, Africa, and Australia",Australia and Antarctica,"South America, Australia and Antarctica",South America and Australia
24,Which feature on a map helps determine direction?,geography,a compass rose,a key,a legend,a compass rose,a scale
25,Which of these is not a type of map projection?,geography,Crusoe,Robinson,Crusoe,Mercator,Interrupted
27,Which of these countries is smallest (by territory)?,geography,San Marino,Seychelles,Liechtenstein,San Marino,Marshall Islands
28,Which of these US cities is largest (by population)?,geography,Houston,Houston,Phoenix,Philadelphia,San Antonio
29,Which of these mountains is highest?,geography,Mount McKinley,Puncak Jaya,Mount McKinley,Mount Elbrus,Mount Kilimanjaro
30,Which of these lakes is deepest?,geography,Tanganyika,Caspian Sea,Malawi or Nyasa,Tanganyika,Issyk-Kul
31,Which of these rivers is longest?,geography,Huang,Lena,Huang,Amur,Ob-Irtysh
32,Which of these seas is largest?,geography,Mediterranean,Bering,Arabian Sea,Mediterranean,Gulf of Mexico
33,Which of these deserts is largest?,geography,Syrian,Chihuahuan,Syrian,Thar,Great Sandy
34,Which of these inhabited places is wettest?,geography,Moulein,Moulein,Sylhet,Baguio,Lae
35,Which of these oceans has the greatest depth?,geography,Pacific Ocean,Pacific Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean
36,"The rivers - the Tajo, the Ebro, the Duero, and the Guadiana, are located in this country.",geography,Spain,Columbia,Portugal,Spain,Brazil
37,"The volcanoes - Akan, Aso, Mount Fuji and Rausu are located in this country.",geography,Japan,Japan,Malaysia,North Korea,Indonesia
38,"Onega, Khanka and Chudskoye are three of the many lakes in this country.",geography,Russia,Kazakhstan,Mongolia,Ukraine,Russia
39,The valleys of the Yellow River and the Pearl River are two of the seven main national valleys in this country.,geography,China,Burma,China,Thailand,India
40,"Pico da Bandeira, Pico do Cruzeiro and Pedra da Mina are three of the numerous mountains located in this South American country.",geography,Brazil,Argentina,Chili,Brazil,Peru
41,Chauvet Cave and Meyrieres Cave are two caves located in this European state.,geography,France,France,Netherlands,Spain,Belgium
42,Kainji Lake and Lake Chad are considered lakes of this country.,geography,Nigeria,Niger,Nigeria,Cameroon,Chad
43,"Mitchell, Jardine, Staaten, Flinders, Leichhardt, and Nicholson are just few of the rivers in this country.",geography,Australia,Indonesia,Australia,Papua New Guinea,New Zealand
44,"Kaskaspakte, Akka and Sielmmacohkka are three mountains in this country.",geography,Sweden,Norway,Finland,Denmark,Sweden
45,Dasht-e Kavir and Kavir-e Lut are deserts located in this Asian country.,geography,Iran,India,Iran,Pakistan,Iraq
46,Which two countries border the Dead Sea?,geography,Jordan and Israel,Jordan and Israel,Lebanon and Jordan,Syria and Jordan,Lebanon and Israel
48,What are the three Benelux countries?,geography,"Belgium, Netherlands and Luxembourg","Belgium, Netherlands and Luxembourg","Finland, Sweden and Denmark","The U.S.A., Canada and Mexico","Honduras, Nicaragua and Belize"
