,question,category,answer,choices/0,choices/1,choices/2,choices/3
0,What year did the sensational movie The Departed first hit the theatres in the United States?,rated,2006,2007,2004,2006,2005
1,What city is the movie The Departed set in?,rated,Boston,New York,Boston,Chicago,Los Angeles
2,How does Billy Costigan tell Sullivans girlfriend (the criminal psychiatrist) that he is an informant for the Irish mob?,rated,sends her a tape/dvd in the mail,meets her in an alley and divulges the information,sends her a tape/dvd in the mail,calls her on the phone,leaves her a note
3,Who kills Sgt. Colin Sullivan at the end of the movie The Deprated?,rated,Staff Sgt. Sean Dignam,Frank Costello,Billy Costigan,Capt. George Ellerby,Staff Sgt. Sean Dignam
4,The last scene in the movie The Departed shows a rodent crawling on Sullivans balcony railing. The rodent appears after Sullivan was shot in the head. What type of rodent was it?,rated,a rat,a castoroides,a mouse,a capybara,a rat
5,What year did the sensational movie Rocky first hit the movie theatres?,rated,1976,1975,1976,1977,1978
6,"This Emmy Award-winning comedy series was based on the lives of four women living together in Miami Beach, Florida.",rated,Golden Girls,Golden Girls,Maude,Empty Nest,The Facts of Life
7,This actor won the Emmy Award for Outstanding Lead Actor in a Comedy Series for his part as the bumbling Jack Tripper in Threes Company.,rated,John Ritter,John Ritter,Alan Alda,Judd Hirsch,Richard Mulligan
9,This comedy starring Don Adams won two Emmy Awards for Outstanding Comedy Series in 1968 and 1969.,rated,Get Smart,Get Smart,The Fugitive,Mission: Impossible,Rowan  Martins Laugh-In
11,Shelley Long and Kirstie Alley both won Emmy Awards for Outstanding Lead Actress in a Comedy Series for this perennial Emmy nominee.,rated,Cheers,Cheers,Murphy Brown,Frasier,Mad About You
12,"Despite its immense popularity during its entire ten-year run, this show won its only Emmy Award for Outstanding Comedy Series in 2002.",rated,Friends,Friends,Frasier,Will and Grace,Everybody Loves Raymond
13,What year did the Academy Award-nominated film As Good As It Gets first hit the theatres in the United States?,rated,1997,1997,1995,1998,1999
14,What actor plays the part of the homosexual artist Simon Bishop in the hit movie As Good As It Gets?,rated,Greg Kinnear,Cuba Gooding Jr.,Jack Nicholson,Skeet Ulrich,Greg Kinnear
15,"What actor plays the part of Simon Bishops agent and friend, Frank Sachs, in the great movie As Good As It Gets?",rated,Cuba Gooding Jr.,Cuba Gooding Jr.,Jaheim Hoagland,Abuc Gnidoog,Cuba Gooding Sr.
16,What does Melvin Udall do for a living in the great movie As Good As It Gets?,rated,Writer,Writer,Doorman,Doctor,Software Engineer
17,Why does Carol Connelly quit her job as a waitress in the restaurant in the movie As Good As It Gets?,rated,to take care of her chronically ill son,She wants to go to Hawaii but her boss wont give her time off.,She needed a break from Melvin and his antics.,She asked for a raise but didnt get it.,to take care of her chronically ill son
18,"At the end of the movie As Good As It Gets, Carol and Melvin who start a relationship together are walking somewhere. Where are they going to so early in the morning?",rated,bakery,airport,diner,DMV,bakery
19,What year did the movie Major League first hit theaters in the U.S.?,rated,1989,1989,1990,1988,1987
20,What was the name of the team of misfits in the film Major league?,rated,Cleveland Indians,New York Mets,Philadelphia Phillies,Cleveland Indians,Los Angeles Dodgers
22,"In the movie Major League, the team started winning and were asked to do a TV commercial for a credit card company. For which company did they do this commercial that included the line, dont steal home without it, a variation of the companys actual slogan.",rated,American Express,Visa,Discover,American Express,Master Card
23,"Pedro Cerrano, played by actor Dennis Haysbert in the movie Major League, came to the U.S. as a defector from Cuba. He escaped for the purposes of religious freedom. What was his religion?",rated,Voodooism,Voodooism,Christianity,Judaism,Catholicism
25,"What year did Monsters, Inc. come out in the movie theatres in the United States?",rated,2001,2004,2002,2001,2000
27,"What is the name of Mike and Sulleys boss in the great animated feature, Monsters, Inc.?",rated,Mr. Waternoose,Jerry,Roz,Randall,Mr. Waternoose
28,"In the movie Monsters, Inc., Mike Wazowski takes his girlfriend Celia Mae out to dinner in what type of restaurant?",rated,Sushi,Sushi,Sbarros,Bulgarian,McDonalds
29,"In the movie Monsters, Inc., which actor provided the voice of the mean Randall Boggs?",rated,Steve Buscemi,Steve Buscemi,George Wendt,Gilbert Gottfried,John Ratzenberger
30,"What is the name of the scare floor secretary in the animated movie Monsters, Inc.?",rated,Roz,Scary Mary,Mary,Roz,Celia Mae
31,"In the movie Monsters, Inc., Mr. Waternoose sends both Mike and Sulley to the Himalayas. Who do they stay with while they are there?",rated,Abominable Snowman,Jack Frost,Mikes cousin Ike,Frosty the Snowman,Abominable Snowman
32,"At the end of Monsters, Inc., the monsters change their format at the power plant. They realize that instead of scaring children, they can generate more energy for the monster world by doing what?",rated,making children laugh,making children laugh,taking children to the movies,taking children to the park,taking children out for ice cream
33,Most fire engines and fire trucks are this color.,rated,red,red,green,white,blue
34,This word is the name of a fruit and a color.,rated,orange,apple,banana,pear,orange
